stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,119.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.2,169.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.25,0,0,3.82,0,0,0,0,0,0,0,0,24.77,0,0,0,45.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.12,4.38,0,0,11.14,0,12.82,0,0,0,0,0,0
 14-21,0,0,2.76,0,0,0,0,0,0,0,0.81,0,0,2.67,0,0,19.04,0,0,1.07,0,0,0,0.87,1.21,7.65,0,0,0
 24-34,0,0,0,0,1.47,0,6.84,0,0.81,0,0,0,0,1.56,0,1.03,42.57,0,1.94,0,0,0,0,0,0,6.05,0.85,0,0
 36-46,0,0,0,0,14.04,0.81,2.81,0,0,0,0,0,0,8.85,0,1.16,71.17,0,4.64,0,0,0,0,0,0,19.6,0,0,0
 48-58,0,0,0,0,23.05,0.4,10.42,0,0,0,0,0,0.51,9.58,0,1.74,85.67,0,1.52,0,0,0.59,0,0,0,16.82,0,0,0
 60-70,0,0,0,0,25.3,0,9.46,0,0,0,0,0,0,7.31,0,0.65,68.38,0,0,0,0,0,0,0,0,22.74,0,0,0
 72-82,0,0,0,0,27.22,0,7.91,0,0,1.53,0,0,0,17.01,0.63,0.74,47.81,0,12.16,0.69,0,0,0,0,0,20.96,0,0,0
 84-94,0,0,0.73,0.68,15.72,0,12.64,0,0,0,0,0,0.73,10.21,0,0,26.09,0,0,0,0,0,0,0,0,0,0.76,2.46,0.86
 96-106,0,0,0,0,9.03,0,11.31,0,0,0.98,0,0,0,11.57,0,1.61,22.05,0,4.68,0,0,0,0,0,0,3.76,3.33,0,0
108-118,0,0,2.31,0,14.29,0,18.17,0,0,0.56,0,0.56,0,20.45,0,1.14,60.67,0,0.59,0,0,0,0,0,0,6.96,0.67,0,0.65
120,0,0,6.88,0,19.43,0,14.42,0,0,9.06,0,0,0,15.76,0,4.28,24.19,0,0,0,0,0,0,0,0,0,1.89,0,0
