stage,eye,fin.epithelia,gut,mesenchyme,neural,periderm,taste,visceral.smooth.muscle
 14-21,0,0,0,0,0,1.18,0,0
 36-46,0,3.63,0,0,0,0,0,0
 48-58,0,0,0,0,0.96,0,0,0
 60-70,1.27,0,0,2.93,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.25
 84-94,0,0,0,2.26,0.93,0,0,0
 96-106,0,0,1.54,0,1.2,0,0,0.74
108-118,0,1.42,0,0,0,0,0.52,0
