stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0
 24-34,0,3.25,0,356.35,0,0,0,0,0,2.67,0,0,11.3,1.08,1.68,0,0,31.32,3.43,2.96,4.34,0,0,8.98,1.4
 36-46,0,14.4,2.98,1350.81,0,0,0,0,0,0,1.15,17.26,0,0,6.18,1.78,4.63,36.24,0,0,4.61,7.96,0,5.81,0
 48-58,0,60.07,0,965.29,0,0.55,4.93,0,0,0,0,7.28,0,0,4.74,1.67,0,66.9,2.53,0,0.81,2.33,0,0,3.45
 60-70,0,58.9,0,1571.53,0,0,15.13,0,0,0,0,9.44,0,0,6.79,0,0,36.04,0,0,2.85,4.48,0,0,0
 72-82,0,26.64,0.6,1378.51,1.33,0,8.29,0,0,0,0,3.99,3.49,0,6.03,0,0,36.15,0,0,5.46,0,1.51,6.09,0
 84-94,0,37.01,1.03,809.41,0,0,2.4,0.63,0,0,0,3.83,0,0,3.16,0,0,21.44,0,0,0,0,2.18,0,0
 96-106,0,20.06,0,204.89,0,0,1.4,0.81,1.98,0,0,0,0,0,2.76,0,0,9.97,0,0,0,5.85,1.88,1.03,0
108-118,0,16.41,0,410.79,0,1.62,4.23,2.15,0,0,0,0,0,0,5.65,0,0,14.61,0,0,0.67,0,0,1.29,0
120,0,14.45,3.94,298.31,0,0,0,0,0,0,0,2.23,0,0,0,1.49,0,4.83,0,0,0,0,1.2,0,0
