stage,axial,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,liver,mesenchyme,mucous,muscle,neural,periderm,pronephros,vasculature
  3-4,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0
 14-21,0,0,0,1.9,0,0,0,0.98,0,0,0,0,5.71,0,0,0
 24-34,0,0,0,1.22,0.74,0,0,0,0,0.82,0,0,1.34,0,1.77,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,1.03
 48-58,0,0,0,0.61,0,0,0,0,0,0.39,0,0,0.82,0,0.39,0
 60-70,0,0,0,5.48,0,0,0,0,0,0.94,0,0,0.73,0,0,0
 72-82,0,0,0,1.18,0,0.71,0,0,0,0,0,0.69,0.59,0,0,0
 84-94,0,0,0,4.05,0,0,0,0,0,0.88,0,0,0,0.61,0,0
 96-106,0,0,0,1.41,0,0,0,0,0,1.98,0.77,0,1.82,1.76,0,0
108-118,0,0.8,0.44,3.17,0,0,0.67,0,0.95,0,0,0,1.53,5.36,0,0
120,0,0,4.25,0,0,0,1.31,0,0,1.25,0,0,0,9.49,0,0
