stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,246.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,66.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.25,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,9.58,0,0,3.55,0,0,0,0,0,0,0,0
 10-12,0,0,3.24,0,0,53.02,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,188.41,15.9,0,0,5.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,23.29,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,9.18,0,0,1.03,17.01,1.94,0,0,0,0,0,0.84,7.88,0,0,0,0
 24-34,0,0,0,16.51,0,10.29,17.22,0,0,1.69,0,0,0.8,0,0,0,0,0,8.47,0,0,2.12,63.33,2.64,0,1.93,0,0,0,0,21.75,0,0,0,0
 36-46,0,0,0,6.4,0,13.24,13.03,0,3.69,0,0,0.57,0,0,9.79,0,0,0,5,0.56,0,0.89,151.64,0.66,0,8.73,0,0,0,0,55.97,0,0.88,0,0
 48-58,0,0,0,2.22,0,15.68,6.52,0.37,13.97,0.92,0,0,0,0,6.6,0.39,0.39,0,16.71,0,0,0.8,76.67,3.95,0,2.68,0,0,0,0,37.93,0,0.51,0,0.47
 60-70,0,0,0,7.34,0,35.11,9.43,0,11.34,1.23,0,3.08,0,0,3.37,0.63,0.72,0,37.88,0,1.5,3.22,80.09,6.17,0,5.48,0,0,0,1.21,60.9,1.51,0.96,0,0
 72-82,0,0,0,3.44,0,79.95,4.61,0,20.29,0,0,3.38,3.9,0,9.69,3.11,0.64,0,46.13,0,1.65,0,72.96,2.15,0,8.41,0,0,0,0.68,14.59,0.9,4.62,3.93,0
 84-94,0,0,0,0.68,0,71.25,7.49,0,18.13,0.76,0,0,0,0.56,6.58,1.91,0,0.95,57.47,0,4.79,0,71.5,6.16,0,20.23,0,1.49,0,0,31.91,3.14,2.86,2.21,0
 96-106,0,0,0,0.73,0,33.03,3.84,0.85,21.74,5.58,0,2.91,0,0,5.1,1.94,0,0.68,54.32,0,2.22,0,79.05,3.71,0,26.13,0,0,0.63,2,16.69,3.1,3.25,3.92,0
108-118,0,0,1.03,5.84,0.5,62.46,11.56,0,23.41,8.18,0,0,1.38,0,29.77,9.45,0,1.12,76.17,0,11.84,0,80.28,2.98,0.95,16.97,0,0,2.93,0,8.99,0,2,13.95,0
120,0,0,0,9.52,0,60.04,8.73,0,19.38,3.22,0,0,0,1.65,15.61,0,0,0,21.08,0,15.64,9.36,74.36,1.57,0,6.75,0,0,0,0,37.92,2.68,0,0,0
