stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,neural,olfactory,otic,spinal.cord,taste
  5-6,15.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,6.83,0.93,0,15.15,0
 24-34,0,0,0,0,1.08,0,0,78.52,0,0,65.42,0
 36-46,0,0,0,2.87,0,0,0,89.84,0,0,95.97,0
 48-58,0,0,0,1.78,0,0,0,110.83,0,0,62.74,0
 60-70,0,0,0,21,0,0,5.52,153.17,0,0,41.92,0
 72-82,0,0,0,54.39,0,1.42,0,199.69,1.37,0,31.27,0
 84-94,0,0,1.1,34.26,0,0,0,128.97,0,1.22,14.67,6.48
 96-106,0,0,0,10.37,0,0,0,75.38,1.49,0,12.91,0
108-118,0,2.56,0,27.78,0,0,0,53.7,0,0,8.37,0
120,0,0,0,35.65,0,0,0,97.57,0,0,10.65,0
