stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,55.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,17.24,0,0,0,0,0,0,0,0,0,84.94,0,0,0,34.18,0,0,0,0,0,0
 10-12,0,0,0,3.32,0,0,0,0,0,0,0,0,0,111.15,4.45,0,0,28.25,0,0,5.26,0,0,0
 14-21,0,0.89,0,0.8,1.26,0,0,0,0,0,0,1.8,1.01,38.86,0,0,0.84,0,0,2.75,0,1.89,6.53,0
 24-34,0,0,0,9.64,0,0,0.6,0,0,0,0.61,4.97,1.76,68.19,0,0,3.24,0,0,0,0,3.02,10.54,0
 36-46,0,0.68,0,6.71,0,0,0,0,0,0,0,0.92,0.61,76.27,0,0,0,0,2.77,0,0,0,11.82,0
 48-58,0,0,0,31.46,2.98,0,0,0,0,0,0,7.74,0.91,52.45,0,0.42,0,0,0.46,0,0,0,6.92,0
 60-70,0,1.5,0,13.53,10.61,0,0,0.67,0,0,0,5.83,9.72,52.63,0,0,0,0,0,0,0,0,4.38,0
 72-82,0,0,0,5.75,0,0,0,0,0,0,0,8.29,0,31.73,0,0,0,0,0.65,0,0,0,0,0
 84-94,0,0.7,0,8.42,3.24,0,0.65,2.39,1.66,0.73,0,0,0,12.74,0,0,0,0,0,0,0,0,0.98,0
 96-106,0,0,0,14.8,1.54,0,0,1.9,0,0,0,3.21,0,33.33,0,0,0,0,0,0,0,0,0,0
108-118,0,0.51,0.46,12.45,0,0.42,0,0,0,0,0,0,0,19.95,0,0,0,0,0,0,0,0,0,0.61
120,0,8.68,1.38,0,13.21,1.42,1.51,0,3.86,0,0,0,0,10.83,0,0,0,0,4.73,0,1.02,0,0,0
