stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,19.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.44,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,26.64,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,41.25,0,0,0,3.51,0,3.1,0,0,0,0,0
 14-21,0,0,0,0,1.09,5.1,0,0,0,0,0,0,0,0,0,2.6,0,0,0,133.19,0,1.08,15.34,0,0,0,0,0.98,0,0,0
 24-34,0,0,0,0,1.25,1.01,0,0,0,0,17.75,0,0,0,0,6.58,0,0,2.1,94.93,0,0.71,95.8,0,0,0,0,2.45,0,0,0
 36-46,0,0,0,0,0,0,0,8.51,0,2.32,18.55,0,0,0.8,0,7.29,0,0,2.87,65.87,0,0,47.51,0,0,1.24,0,0,0,0,0
 48-58,0,0,0,0,1.69,0,0,5.6,0,1.15,24.54,0,0,0,0,29.28,0,0,2.53,84.98,0,0,33.21,0,0,0,0,2.61,0,0,0
 60-70,0,0,0,0,9.24,0,0,9.31,0,10.6,51.91,0,0,0,0,65.15,0,0.94,5.82,94.77,0,0,23.8,0,0,0,0,0.8,0,0,0.81
 72-82,0,0,0,0,13.52,0,0,9.27,0,11.49,55.36,0,2.27,0,1.62,89.42,0,0,2.15,135.7,0,0,60.74,0,0,0.78,1.65,0,4.17,0,1.24
 84-94,0,0,0,0,38.29,0,0,14.61,0,3.76,89.3,0.73,0,2.49,0,81.11,0,0,2.5,93.37,0,0,44.18,0,0,0,0,0,0,0,2.44
 96-106,0,0,4.86,0,16.98,0,0.97,13.29,2.08,8.07,41.35,0,0,8.43,0,50.23,1.42,0.66,11.01,76.62,0,0,75.49,0,3.53,2.12,13.67,0,0,0.74,8.95
108-118,0,0,0,0,10.65,0,0,12.13,0.46,6.19,103.19,0.67,0,12.31,0,88.01,0,3.89,4.39,100.05,1.28,0,71.52,0,1.07,0,0,0,0.57,0,1.52
120,3.35,0,0,0,38.8,1.14,0,1.59,1.34,15.21,128.54,4.34,0,1.57,0,88.83,0,0,7.69,215.6,9.93,0,73.45,0,2.03,0,0,8.59,13.52,9.87,5.18
