stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,slow.muscle,somites,spinal.cord,vasculature
  5-6,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0
 14-21,0,0,2.21,0,0,74.04,0,0,0,0,0,0,1.21,0,2.17,3.96,0,0
 24-34,0,0,1.66,0,0,126.38,0,0.92,0,0,1.34,0,0,0,0,0,0,1.51
 36-46,0,0,0,0,0,42.24,0,0,0,0,0,0,0,0,0,0,0.72,0
 48-58,0,0,0,0,0,66.3,0,0.83,0,0,4.29,1.94,0,0,0,0,0,0
 60-70,0,0,0,6.16,0,87.97,0,0,0,0,0,0.82,0,0,0,0,0,0
 72-82,0,0,0,0,0,102.83,0,0.51,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,133.9,0,0,0,0,0,3.47,0,0,0,0,0,0
 96-106,0,0,0,2.03,2.09,207,1.58,0,0.68,0,1.22,9.92,0,0,0,0,0,0.68
108-118,0,0.89,1.98,4.23,0,175,0,2.24,0,1.05,0,2.28,0,1.34,0,0,0,1.17
120,0,3.48,2.45,3.92,0,316.13,0,10.62,0,0,0,5.61,0,0,0,0,10.6,0
