stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,11.73,4.53,0,0,0,0,0,1.92
 24-34,0,0,0,1.64,116.21,0,0,3.36,0.69,0,11.64,0,0,0,0,0,0,1.62,0,0,36.21,46.77,0,0,0,0,2.73,0,92.89,40.93,6.16,0,0,1.58,0,0
 36-46,0,0,0,7.02,276.44,0,0,1.69,0,0,1.05,0,0,0,0,0,0,2.33,0,0,37.93,35.08,2.3,1.39,0,0,0.63,0,113.61,1.02,12.42,0,0,0,0,0
 48-58,6.12,0,0,91.47,420.5,0,3.8,19.03,1.69,0,0,0.55,0,2.2,0.38,2.86,5.22,30.05,0.46,1.76,68.25,255.92,0,1.8,0.41,0,6.99,0,148.02,0,53.5,0,0,4.99,0,6.77
 60-70,5.46,0,0,92.81,279.18,3.81,0,15.52,0,9.59,0,0,0,0,0,0,7.94,22.98,1.01,0,44.65,183.99,0,0,0.77,0,4.01,0,61.86,0,45.37,0,0,1.03,0,3.57
 72-82,6.34,1.19,0,71.23,94.2,0,0,14.55,0.71,0,0,0.9,0,0,0.63,1.32,0,47.6,0,0,28.48,106.01,0,1.49,0,1.08,1.13,0,43.34,0,24.07,0,0,4.47,0,0
 84-94,5.22,0.83,0,79.46,98.66,0,7.33,3.35,1.02,0,0,1.03,1.29,0,0,0,0.98,29.24,0,0.69,22.13,110.7,0,0,1.93,0,4.89,0,16.95,0,5.28,0.57,0.92,3.17,1.35,2.76
 96-106,4.09,2.91,0,87.44,171.6,0,6.32,11.94,0,0,0,2.78,0.91,0,0,1.14,8.43,72.81,6.25,6.88,10.95,81.52,0,3.57,0,0,17.67,1.05,42.35,0,15.93,6.08,4.08,2.92,1.67,0
108-118,3.45,0,3.25,47.05,29.66,0,1.56,2.23,0.86,0,0,0,0,0,0,5.16,0,34.37,0,0,5.35,63.87,0.51,0,0,6.74,9.78,0.7,7.43,0,0,0,2.65,2.11,1.7,1.84
120,0,3.74,0,0,68.46,0,0,0,9.76,0,0,0,0,0,0,0,0,16.62,0,0,8.91,90.14,0,0,0,0,1.35,0,7.85,0,11.22,0,2.41,0,0,0
