stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,71.97,509.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.32,0,0,0,0,0,0,0,0
  5-6,0,116.49,0,13.2,0,0,0,0,0,0,0,0,9.46,0,0,0,0,7.13,0,0,0,0,0,0,0,0
  7-9,9.29,12.89,0,12.5,0,0,17.15,0,0,0,0,0,65.82,0,0,0,26.79,0,7.32,0,0,0,0,0,0,0
 10-12,0,5.5,0,33.62,0,0,0,0,0,0,0,0,135.85,6.58,0,0,56.15,0,0,0,7.57,0,0,0,0,0
 14-21,0,0,0,0,0.94,1.23,0,0.91,0,113.42,0.93,0,2.38,0,0,0,0,0,0,0.82,0,2.68,0,0,0,0
 24-34,0,0,0,2.55,0,0,0,0,0,40.1,0,2.25,2.11,0,0,0,0,0,0,0,0,0,2.91,0,5.42,0
 36-46,0,0,0,0.72,0,0,0,0,0,1.35,0,0.58,0.91,0,0,0,0,0,0,0,0,0,0,0,13.07,0
 48-58,0,0,0,0,1.29,0,2.4,0.42,4.12,0,2.36,0.48,3.76,0.5,0,0,0,0,0,0,0,0,2.78,0,33.54,2.67
 60-70,0,0,0.86,0,0,0,0,0,8.73,0,0.6,0,1.98,0,0,0,0,0,0,0,0,0,2.85,0,11.81,0
 72-82,0,0,0,0,1.02,0,0,1.27,11.49,0,1.3,0,10.62,0,0,0,0,0.93,0,0,0,0,0,0.84,32.36,0
 84-94,0,0,0,0,0,0,0,0,35.28,1.65,0,0,2.77,0,0,7.38,0,0,0,0,0,0,0,0,20.3,0
 96-106,0,0,0,2.06,0,0,0,4.01,23.79,0,4.55,0,12.07,2.25,0,0,0,1.85,0,0,0,0,0,0,14.94,0
108-118,0,0,4.12,1.35,0.42,0,4.44,0,32.79,0,0,0,9.46,0,0,0,0,0,0,0,0,0,0,0,19.13,0
120,0,0,0,1.66,1.6,0,0,0,47.39,0,2.88,0,6.73,0,10.74,0,0,0,0,0,0,0,0,0,24.12,0
