stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.51,0,0,0,35.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,0,0,0,141.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,16.36,0,0,0,0,0,0,0,7.67,0,0,0,0,0.93,0,0,0.91,2.13,0,0,0,0,0,0,4.84,1.44,0,1.01,0,0,44,0
 24-34,0,0,0,1.89,6.19,0,0.81,0,0,0,0,0,40.32,0,0,0,0,3.82,0,0,2.39,39,0.74,0,0,0,0,1.55,0,0,0,0.84,1.71,0,551.33,0
 36-46,0,0,0,0,0,0,6.3,4.15,15.62,0,1.26,0,13.01,0,0.72,0,0,4.58,0,0,0,82.96,0,0,0.96,0,0,0,0,1.02,0,0,5.82,0,415.29,0
 48-58,0,0,0,0.41,0,0,12.84,0,0,0.4,0.77,0,20.44,0,2.43,0,0,9,0,0,0.96,68.9,0,0.86,0.61,0,0,0.77,0,0,0,0,2.64,0,377.9,0
 60-70,0,0.86,0,0,0,0,20.31,0,0,0,4.7,0,29.89,2.8,0,1.77,0.71,6.26,1.01,0,0,55.12,0,1.08,0,0,0,3.83,0,0,0,0,1.55,0,374.83,0.87
 72-82,0,0,3.31,3.7,0,0,20.65,0,0,0,7.95,0,37.19,1.05,0.94,0,0,23.7,0,0,0.89,36.3,0,0,0,0,0,1.39,0,0,0,0,17.78,2.28,704.89,0
 84-94,0,0,0,0,6.18,0,35.02,0,0,0,6.53,0.96,27.58,0,0,0,0,13.59,0,0,0,36.11,0,0,0.88,0,0,1.72,0,0,0,0,2.49,0,566.43,0
 96-106,0,0,0,1.33,11.12,0,20.13,6.3,0,4.6,10.57,0.63,47.91,2.47,3.91,10.34,0,15.17,0,0,0,55.23,0,2,1.09,0,1.45,6.49,0,1.41,0,0,4.18,0,768.98,0
108-118,0,0,0,0.45,3.72,2.8,27.67,0,0,0,13.82,0,37.85,3.17,0.52,1.81,0,25.56,0,0,0.52,46.43,0,0.66,0.54,0,0,0.48,0,1.7,0,0,1.33,0,611.01,0
120,0,0,0,0,0,0,30.18,0,0,0,20.35,1.66,62.84,0,0,0,0,14.06,0,9.54,0,39.32,0,0,1.47,0,0,1.03,0,0,1.21,0,0,0,753.28,0
