stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.19,0,0,0,12.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,0,0,0,9.45,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0.98,0,0,2.37,0
 24-34,0,1.57,2.05,2.3,0,0,0,0,0,0,0,0,0,0,0,11.47,1.84,0.74,1.77,0,0,0,0,0.69,3.2,0
 36-46,0,0,0.82,17.57,0,0,0,0,1.51,0,0,0,0,2.26,1.22,13.32,15.46,0,0,0,0,0,0,3.95,0.63,0.94
 48-58,0,0,0,11.35,0,0,0,0,7.88,0,0,0,0,7.65,0,21.58,0.98,0,1.26,0,0,0,0.43,5.22,2.13,0
 60-70,0,0,0.96,7.27,3.34,0,0,0,0,0,0,0,1.58,1.81,0,19.3,0,0,0,0,0,0,0,5.67,4.28,0
 72-82,0,1.97,1.56,9.72,14.02,0,0,1.99,0,0,0,0,2.22,6.62,0.54,33.93,0,0,2.38,0,0,0,1.62,17.69,3.38,0
 84-94,0,2.14,3.4,6.14,54.03,0,0,2.62,0,0,0,0,0,4.4,7.75,6.8,1.26,0,3.87,0,0,0,0,30.63,3.28,0
 96-106,0,2.29,2.89,19.35,185.47,0.89,0,11.24,0,1.19,1.18,0.58,0,1.45,14.33,36.12,0,0,1.23,0,2.81,0,0,19.85,5.68,0
108-118,0,0,8.19,4.83,145.91,0.76,0.72,6.32,0,0,0,0,0,10.73,27.61,38.36,0.43,0,3,0,0,0,0,10.99,0,0
120,0,0,6.88,7.98,208.3,0,0,11.29,0,0,0,0,0,0,0,47.43,0,0,2.87,0,0,0,0,7.24,0,0
