stage,blastomeres,neural,paraxial.mesoderm,presomitic.mesoderm
  5-6,14.89,0,0,0
  7-9,0,10.42,0,0
 10-12,0,0,10.69,0
 14-21,0,0,0,1.55
 72-82,0,5.95,0,0
 96-106,0,4.72,0,0
