stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,mesenchyme,muscle,neural,olfactory,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,3.58,0,0,1,0,0,0,0,7.06,0,0.83,0,6.36,0,0,0
 24-34,0,0,0,6.7,0,0,3.84,1.3,2.66,0,0,0,4.62,0,0,4.42
 36-46,1.87,2.34,0,10.21,0,0,2.13,2.66,3.31,0,0,0,9.1,0,0,1.96
 48-58,3.91,0,1.07,0.78,0,0,1,0.96,0,0,0,0.95,0,0,0,0.48
 60-70,2.38,4.25,0,4.71,0,0,2.51,0,0,0,0,0,0,0,0,0.92
 72-82,0,0,0,1.13,0.75,0,0.89,0,0,0,0,0,0,0,0.75,0
 84-94,0,0,0,1.7,0.6,1.25,6.99,0,0,0.81,0,0,0,1.5,0,4.23
 96-106,0,0,0,3.2,0,0,0,0.81,0,0,0,0,0,0,0,0
108-118,2.05,0,0,5.22,0,0,1.92,0,1.14,0,0,0,0,3.18,0,0
120,0,0,0,1.25,0,0,6.78,0,0,0,0,0,0,0,0,0
