stage,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,mucous,mural_cell,neural,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,8.99,0,0,0,0,0,0,4.69,0,0,0,0
 14-21,0.92,5.29,0,0,0,0,0,0,0,2.55,0.89,0,2.62,15.1
 24-34,0,0.79,0,0,0,0,2.03,0.69,0,29,0.71,0,8.95,17.48
 36-46,0,0,3.75,0,0,0,0.94,0,0,181.24,0,0.86,37.08,12.52
 48-58,0,0,18.36,0,0,0,0.63,0,0,203.85,0,0,23.99,0.56
 60-70,0,0,128.45,0,0,0,1.37,0,0,376.19,0,0,31.22,0
 72-82,0,0,28.94,0,3.12,0,0,0,1.14,152.12,0.9,0,14.37,0
 84-94,0.71,0,30.56,0,1.84,0,0,0,0,68.39,1.73,0,2.82,0.66
 96-106,0,0,4.1,0.67,0,0,3.31,0,0,37.26,6.18,0,2.6,0
108-118,0,0,18.67,7.87,0,1.57,1.03,0,2.32,82.49,6.38,0,0,0
120,0,0,26.91,13.86,5.48,0,23.54,0,0,207.98,4.07,0,7.65,0
