stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,46.18,1003.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.07,0,0,0,0,0,0,0,0,0
  5-6,112.43,1561.02,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.11,0,0,0,0,0,24.8,0,0,0,0,0,0,0,0,0
  7-9,9.32,31.64,0,49.9,0,0,0,59.88,0,0,0,0,0,20.99,0,0,0,0,0,0,0,0,0,0,0,411.52,28.09,0,0,165.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,54.86,0,36.16,0,10.73,0,22.46,0,0,0,0,0,8.89,0,0,0,0,0,0,0,0,0,0,0,885.21,66.49,0,0,216.58,0,0,9.17,66.16,0,5.74,0,0,0,0,0
 14-21,0,0,0,10.41,316.5,48.35,0,87.12,0,0,0,41.3,6.76,4.31,2.85,1.04,11.24,2.34,1.14,17.91,0,123.62,0,0,97.97,1366.55,61.98,1.09,15.35,29.06,0,8.83,217.72,4.68,11.16,198.74,403.86,0,4.63,0,1.92
 24-34,0,0,0,5.26,160.89,2.68,0,172.37,0,4.34,5.99,30.24,3.43,0,5.61,1.08,24.6,0.83,3.69,10.47,8.42,197.35,6.42,0,89.34,1471.6,14.48,10.9,12.86,0,0,19.77,0.95,9.1,6.14,28.02,314.24,0,13.86,0,2.3
 36-46,0,0,0,0,57.58,4.1,0,196.4,0.59,4.87,7.14,28.96,4.3,0,2.33,16.56,14.4,1.97,0.95,1.08,8.37,126.57,1.62,3.69,66.5,890.11,6.25,5.59,6.43,0,0,3.34,0,0.6,4.62,0,204.61,0,7.31,0,13.68
 48-58,0,0,0,0,40.28,1.86,0,447.84,7.61,16.44,6.19,84.06,2.98,0,1.52,2.65,1.79,6.43,3.52,3.36,1.96,184.46,3.22,11.5,53.24,552.43,6.06,2.26,10.24,0,0.56,4.62,0,2.82,0,2.82,100.85,0,7.85,0,19.48
 60-70,0.81,0,0,0,41.71,0.8,0,293.88,1,11.71,13.88,85.12,4.72,0,2.03,2.45,3.14,4.25,1.45,1.06,0.95,237.62,0,23.05,35.85,292.18,14.2,3.99,10.7,0,3.35,15.66,0,7.69,2.32,0,31.04,1.8,5.69,1.54,0
 72-82,0,0,0,0,11.8,1.9,1.67,123.62,0,7.7,12.39,59.53,10.92,0,3.38,2.78,6.43,5.29,0.61,17.56,3.2,177.4,0.51,4.01,36.41,141.89,4.86,1.77,6.58,0,1.89,5.15,0,8.16,0,0,5.91,6.75,2.97,2.12,12.41
 84-94,0.62,0,0,0,47.75,4.08,5.53,135.05,0,8.12,12.74,62.74,21.29,0,1.51,4.68,24.1,4.26,5.52,10.06,4.37,252.17,0.86,17.52,31.04,166.94,16.79,5.85,14.39,0,0.79,18.25,0,6.26,1.82,0,14.19,3.51,11.24,4.71,7.62
 96-106,0,0,0,0.65,30.26,8.97,0.71,140.62,0,2.37,2.02,94.92,27.25,0,3.83,12.11,14.98,8.4,8.95,26.6,0.57,214.29,0.79,6.96,32.08,189.18,2.59,9.84,18.87,0,0,18.82,0,15.58,1.9,0,11.42,1.48,5.81,8.5,27.48
108-118,0,0,0.6,0.95,34.64,17.44,1.08,124.38,0.97,5.54,11.95,99.22,31.53,0,4.2,4.08,12.19,10.7,1.47,40.14,3.58,236.29,0.66,6.32,50.91,271.18,4.94,8.51,11.71,0,20.63,13.82,0,13.44,3.8,0,4.31,10.31,19.31,2.72,20.4
120,0,0,0,0,17.89,34.69,0,142.54,0,3.96,31.31,164.87,11.63,0,6.99,6.26,9.44,3.37,2.53,20.13,0,269.68,0,7.99,48.43,310.72,16.67,0,7.08,0,9.18,2.8,0,6.25,3.51,0,4.11,0,9.76,6.01,4.92
