stage,epidermis,eye,gut,liver,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,45.65,0,0,0,3.31,0,0,0,0
 10-12,0,0,0,0,0,359.4,3.96,0,3.87,0,0,0,0,0
 14-21,14.45,0,0,1.94,0,0.86,0,0,0,1.29,0.84,1.16,0.97,0
 24-34,0,0,0,7.45,0,1.16,0,0,0,0,3.75,0,0,0
 36-46,0,0,0,12.43,2.05,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.69,4.7,0,2.26,0,0,0,0,0,0,0,0.9
 60-70,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.53,1.18,1.92,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,4.01,0.84,1.83,0,0,0,0,0,0,0,0
 96-106,0,0,0,12.55,2.21,0,0,1,0,0,0,0,0,2.2
108-118,0,0,0,20.52,0,3.41,0,0,0,0,1.22,0,0,0
120,0,3.13,0,21.9,14.54,0,0,0,0,0,0,0,0,0
