stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,6.04,0.82,0,0,0,0,0,0,2.74,0,0,0.92,0,0,8.92,0,0,0,0,0,1.03,0,1.66,2.16,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.64,0,0,2.97,1.52,2.28,11.71,0.7,0.6,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.56,2.04,0,3.45,8.39,0,24.55,0,0,0,1.51,0,0,0,0,2.98,1.37,0,0,3.36
 48-58,0,0,2.1,0,0,0,5.49,0,0.45,22.32,0,5.23,27.24,0.71,10.13,0.62,0,0,1.96,0,0,0,0,8.53,3.43,0,0,0
 60-70,0,0.63,11.66,0.59,0,0,8.76,0,0,8.78,0,9.07,78.53,2.27,9.86,0,0,0,22.17,0,0,0,0,0,23.36,0,18.99,0
 72-82,1.38,13.1,20.72,0,0.62,3.26,18.39,0,3.12,20.96,0,33.66,104.64,6.14,23.6,0,0,7.95,24.82,0,0,0,0,5.45,33.83,0.61,104.82,0
 84-94,0,8.72,6.74,0,0,0,0,0,7.43,51.45,0,11.57,162.8,4.19,1.58,0,0,0,25.42,0,0,3.22,0,15.71,55.74,5.96,136.23,0
 96-106,0,9.07,40.92,0,0.87,0.97,17.14,0.77,3.21,62.72,11.28,57.05,164.37,11.52,42.61,0,0,2.33,146.93,0.76,0,3.26,0,10.31,87.83,0,318.93,0
108-118,0.63,11.1,14.47,0,0,2.52,9.94,2.17,0,84.27,8.18,89.3,164.23,9.82,32.69,0.44,0,2.64,230.81,0,0,0,0,0,32.63,2.87,207.38,3.36
120,5.79,4.51,1.17,0,1.11,0,2.93,1.38,0,68.77,6.54,117.02,212.71,32.15,63.05,0,0,4.16,121.38,0,0,0,0,2.39,63.13,1.59,588.76,0
