stage,eye,gut,mesenchyme,neural,olfactory,otic
 36-46,0.58,0,0.8,1.2,0,0
 48-58,0,0.43,0,7.92,0,0
 60-70,0,0,0,1.3,3.28,0
 72-82,0,0,0.85,1.11,1.08,0
108-118,0,0,0,0,0,3.57
