stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,41.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.95,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0.92,0,1.1,0,1.68,0,0,1.15,1.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0
 36-46,0,0,0,0,0,0,0,0.94,0.8,0,0,0,0,1.65,0,1.07,0,1.7,0,0,0,0,9.81,0,0,0,0,0,0
 48-58,0,0,0.52,0.37,0,4.48,0,0.74,6.71,0,0,0,0,3.5,0,0,0,3.36,0,0.44,0,0,1.68,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,43.24,1.47,0,0,0,2.82,1.01,1.41,0,2.26,0,0,0,0,12.64,0,0,0,0,0,0
 72-82,0,0,0.56,0.72,0,7.32,0,1.87,26.74,0,0,5.22,0,0,4.43,1.01,0,16.66,0,0,1.72,0,1.67,0,0,0,0,2.28,0
 84-94,0,1.15,0,0,0,6.84,0,0,94.43,0,0,0,0.78,3.17,0.78,0,0,5.09,0,0,1.04,0,36.78,0,0,0,0,0,0
 96-106,0,0,2.36,2.1,3.54,27.55,0,0,165.62,0.8,2,0,0,2,6.42,0.98,0.81,21.37,0,0,0,0,5.23,0,0,0,2.94,1.24,1.4
108-118,0,3.13,1.23,0,1.49,6.05,5.48,1.95,350.82,0,0,0,0,4.83,2.7,0,0,45.52,0.43,0,3.07,0,9.05,0.6,0,0,0,0.57,0
120,0,0,1.66,1.21,3.62,0,0,1.59,203.72,0,0,0,0,0,1.15,0,1.93,29.39,0,8.73,1.65,0,10.55,0,0,0,0,0,0
