stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.56,403.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3,0,0,0,0,0,0,0,0,0
  5-6,6.89,244.94,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,29.49,0,0,0,0,0,0,0,14.17,0,0,0,0,0,0,0,0,0,0,112.31,15.62,0,0,42.76,0,9.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.86,0,0,11.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.81,0,0,0,22.02,0,24.13,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,132.03,1.89,3.11,0,0,0.98,0,0,0,0,1.56,0.93,0,0,4.49,0,0,0,15.18,0,0,5.92,0,0,136.16,0,0,0,6.12,0,0,0,0,0
 24-34,0,0,0,0,150.63,0.67,7.62,0,0,0,0.82,0,1.53,1.7,0,1.33,0.84,0.69,30.59,7.41,0,8.22,33.84,0.6,2.25,3.72,0,0,173.89,0,0,0,6.63,0,0,14.14,0,0
 36-46,0,0,0,0,44.8,0,0,0.63,0,1.5,0,0,1.48,0,4.54,1.56,0,0,17.18,3.81,0,3.04,25.26,0,3.37,1.48,0,0,131.17,0,0,0,9.34,0,0,22.83,0,0
 48-58,0,0,0,0,28.51,0,7.76,1.2,0.64,3.41,0.38,0.57,3.11,0,0,0.65,1.01,0,32.53,0,0.4,2.18,9.61,0.84,0,2.53,0,0,35.58,0,0,0.45,6.69,0,0,3.46,0,0
 60-70,0,0,0,0,15.25,0,5.34,3.16,5.21,17.95,5.04,0,3.68,0,0,0.88,9.24,0,52.46,0,0,2.64,4.5,0,1.29,2.17,0,1.19,45.8,0,0,0,6.81,0,1.44,3.88,0,0
 72-82,0,0,3.98,0,14.74,0.64,4.65,0.71,10.15,68.05,10.44,0,1.21,0,1.97,2.75,5.51,0,88.84,0.51,0,12.01,27.35,0,0,2.58,0,0.72,20.14,0,0,0,3.68,0,3.65,10.32,1.09,1.38
 84-94,0,0,1.96,0,23.67,0,9.11,0.81,2.67,33.32,22.17,0.91,5.41,0,2.34,0,8.19,0,59.07,0,1.87,7.08,5.72,2.1,0,0.6,0,2.65,45.09,0,0,0.85,12.36,2.5,6.15,14.76,0,0
 96-106,0,0,13.82,1.03,28.19,9.56,9.27,6.86,4.04,36.96,34.62,0,1.6,0,1.82,1.83,26.39,0,123.3,2.98,1.84,14.64,35.71,0,5.09,4.89,0,3.23,51.44,1.35,0.71,0,7.37,1.88,2.02,15.07,1.17,0
108-118,0,0,9.6,0,39.17,0.96,19.46,7.81,3.41,56.18,31.47,0,0.69,0,2.56,0.92,28.69,0,117.77,4.67,5.25,1.7,27.71,1.12,0,6.86,0,0.86,28.3,0,0,0,3.27,0.41,2.07,29.62,2.25,0.65
120,0,0,8.68,4.41,45.58,0,0,2.93,5.7,57.6,75.92,0,9.97,0,3.69,0,23.33,0,93.25,0,9.31,0,24.25,1.62,0,11.95,0,29.86,26.15,0,0,0,16.18,1.81,5.29,3.56,0,0
