stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,neural,notochord,paraxial.mesoderm,vascular.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,3.33,0,3.63,0,0
 24-34,0,0,0,0,0,0.95,0,2.29,1.23,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.59,0,0,0,0,0
 48-58,1.06,0,0.53,0.77,0,0,0,1.3,0,5.31,0,0,0
 60-70,3.61,0,0,2.36,0,0,0,0,3.02,0,0,0,0
 72-82,3.08,0,0,1.01,0,0,0,0,1.08,0,0,0,0
 84-94,0,10.87,0,0,0,0,0,0,16.75,0,0,0,0
 96-106,9.35,0,0,0,1.72,0,0,0.99,0.99,0,0,0.93,0
108-118,14.94,7.31,0,0,0.65,0,0.72,2.87,0,0,0,0,4.3
120,3.45,0,0,0,0,0,0,3.87,0,0,0,0,9.31
