stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,541.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,94.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3,0,0,0,0,0,0,0,0,0
  7-9,3.89,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,21.93,0,0,0,0,4.58,0,0,0,0
 10-12,0,0,3.73,0,0,19.52,0,0,67.19,0,0,0,0,0,0,0,0,118.44,0,0,8.61,0,0,0,0,0,0
 14-21,0,0.82,4.28,3.88,0,4.09,0,0.85,40.87,0,0,0,0,0,0,0,2.69,96.22,0,0,0.94,0,1.8,5.05,21.16,0,0
 24-34,0,1.27,5.27,2.56,0,15.32,0,0.67,4.25,0,0,0,0,1.34,3.17,0.63,0,81.29,0,1.36,0,1.93,0,0,17.22,0,1.61
 36-46,0,4.23,0,4.58,0,10.3,0.71,0,0.59,0,0,0,0,0.94,2.35,0.68,0,53.76,11.24,0,0,0,1.59,0,3.64,0,0
 48-58,0,0,0.44,0,0,1.66,1.12,0,0.48,0,0,0,0,6.11,2.68,6.59,0,28.1,0.56,0,0,0,0,0,2.9,0,3.69
 60-70,0,0.6,0,0,0,5.42,1.07,0.89,0,0,0,10.18,0,0,0,2.91,0.57,47.03,0.72,0.62,0,0,0,0,7.55,0,0
 72-82,0,5.32,0,0,1.66,12.16,4.1,2.69,0,0,0.98,0,0.55,0,4.73,8.35,3.15,39.32,4.36,0.69,0,0,0,0,6.2,0,0.92
 84-94,0,3.16,0,6.22,1.98,14.75,1.89,6.26,0,0,0.58,0,0,0,0,4.46,0,27.82,0,0,0,0,0,0,7.44,0,1.47
 96-106,0,3.56,0,1.39,0,9.64,1.97,2.11,0,0,0,0.98,0.67,0,4.02,27.24,0,30.76,1.51,0.79,0,2.91,0,0,3.68,0.58,8.07
108-118,0,7.24,0,1.06,38.04,2.35,8.7,7.78,0,1.03,0.53,0,0,1.58,5.97,12.89,0,31.59,0,1.67,0,2.21,0,0,5.72,0,6.31
120,0,0,0,13.97,1.09,6.51,0,8.92,0,0,1.19,0,0,0,0,9.81,0,39.55,3.57,0,0,0,0,0,0,0,2.49
