stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.46,285.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.63,0,0,0,0,0,0,0,0,0,0
  5-6,17.16,391.55,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,66.1,0,0,0,0,0,0,0,0,0,0
  7-9,7,0,5.02,0,0,0,0,0,0,0,0,0,10.69,0,0,0,0,0,0,0,0,0,0,0,74.86,3.24,0,0,48.87,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.21,16.48,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.52,0,0,50.27,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,69.48,0,2.73,0,0,0,1.46,0,1.37,0.91,0,5.85,9.79,0,0,0,0
 24-34,0,0,0,2.61,0,0,342.86,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,1.86,101.09,0,12.1,0,0,0,7.14,0,0,0,0.99,0.9,34.59,0,1.75,0,7.36
 36-46,0,0,0,6.83,0,0,778.36,0,0,0,0,0,0,0,0,1.02,0,0,9.3,0,1.73,0,0,4.14,102.82,0,0,0.63,0,0,0,0.91,0,1.05,0,0,46.03,0,0,0,0
 48-58,0,0,0,5.33,0,0,2763.99,0,0.4,0,24.79,0,0,0,0.85,0,3.8,0,0,0,4.04,0,0.95,10.79,196.09,0,0,0,0,0,2.64,0,0,0.68,0,0,45.32,0,0,0,0
 60-70,0,0,0,8.43,0,0,12240.13,3.1,0,0,5.9,0,0,0,0,0,3.7,0,0,0,19.39,0,1.28,0.68,168.65,0,0,0.89,0,0,4.98,0,0,0,0,0,16.66,0.71,0,0,0
 72-82,0,0,0,13.88,2.75,0,10350.37,0,0,29.27,23.88,4.02,0,0,10.3,0.74,0,0,6.15,2.32,41.55,3.26,2.24,4.54,242.47,0,3.61,5.62,0,0,9.61,0,0,0,0,0,21.19,3.16,5.17,7.12,0.67
 84-94,0,0,0,45.44,1.92,0,10065.73,0,39.19,2.31,57.3,2.75,0,0.78,0.55,0,0,4.41,0,0,21.93,1.81,3.37,2.51,162.64,8.92,0.75,4.43,0,0,13.99,0,0,0.9,0,0,6.43,5.41,7.36,6.14,0.58
 96-106,0,0,0,12.7,0,0,4320.54,1.7,0,0,14.34,1.47,0,2.28,4.65,0,2.8,0,0,0,7.11,2.99,0,1.08,105.55,0,0,0.84,0,0,3.28,0,0,0.7,0,0,7.3,2.29,6.95,0,6.1
108-118,3.95,0,0,6.61,0.56,0.56,3732.19,1.34,1.06,3.21,13.9,0.63,0,0,1.68,1.18,0,0,0.97,0,7.6,0,0,9.14,98.98,1.94,0,0,0,2.27,9.97,0,0,1.48,0,0,5.92,2.96,5.02,2.47,0
120,0,0,0,33.16,0,0,3768.37,0,9.67,0,69.13,0,0,5.25,1.49,0,0,0,0,0,23.62,0,23.41,5.52,172.35,0,2.28,0,0,5.5,2.05,0,0,0,0,0,0,0,0,0,0
