stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.51,479.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.97,0,0,0,0,0,0,0,0,0,0
  5-6,65.24,1218.76,0,6.55,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,17.88,0,0,0,7.5,0,8.51,0,0,0,0,0,0,0,0,0,0
  7-9,16.29,14.81,0,38.08,0,73.22,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,440.66,0,0,0,173.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.8,0,34.25,0,12.1,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,252.54,5.15,0,0,62.72,0,0,0,3.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.8,29.88,7.98,0,0,5.88,0.96,2.24,0,0,0,0,0,0,0,19.42,0,0,5.47,234.92,2.89,0.83,0.85,7.26,0,0,24.72,2.44,2.08,18.49,71.17,0,0,0,0,0
 24-34,0,0,0,0,5.77,45.72,0,0,8.92,0.66,0,1.45,0,0,0,2.87,0,0,38.62,0,0,12.59,396.28,5.84,0.75,4.42,0,0,7.76,2.06,0,0,3.03,59.1,0,0,7.79,0,0
 36-46,0,0,0,0,1.65,40.6,1.12,0,10.44,0,0,0,0,0,0,0,0,0,23.1,0,0,10.1,222.28,0,0.78,0,0,0,10.15,0,0,0,0,47.45,0,1.23,4.62,0,2.22
 48-58,0,0,0,0,5.06,89.27,0,2.13,10.1,0,0,0,0,0,0,0.45,0,0.87,18.79,0,0.54,4.27,169.46,0,0,0.87,0,0,8.12,0,0,0,0,42.94,0,0,3.33,0,0.66
 60-70,0,0,0,0,1.68,72.24,0,1.65,12.32,0,0,0.79,7.87,0,0,0,0,0,32.63,0,3.44,2.39,142.88,0,0,0.62,0,1.55,2.98,0,0,0,0,9.9,0,0,0,2.76,0
 72-82,0,0,0.93,0.56,3.73,65.74,0,0.56,9.75,0.51,0,0.56,0.52,0,0,0,0,0,22.23,1.2,2.05,4.1,136.61,0,0,1.6,0,1.53,2.59,0,0,0,0,12.23,0.53,0,0.96,0.9,3.1
 84-94,0,0,0,0,5.33,16.53,1.41,0,9.94,0.96,0,0,1.41,1.42,0,0,0,0,19.44,1.94,0,0,22.58,0,2.97,1.52,0,2.56,0,0,0,0,0,26.67,0,0,0,3.88,0
 96-106,0,0,0,0,2.74,19.38,0,2.94,8.23,2.29,0,0.62,0.62,0.85,0,0,0,0,23.11,0,0,1.16,43.87,0,5.86,0,0,0,7.75,0,0,0,0,0,0,0,2.35,0.64,0
108-118,0,0,0,0,2.59,18.93,0.99,0,18.02,0.79,0,2.87,1.01,0,0.56,0,0,0.78,18.61,0,0,1.53,59.79,0,0.63,0,0,0,0,0,0,0,0,13.3,1.37,0,1.37,0.49,0
120,0,0,0,0,4.39,11.81,0,0,23.62,1.26,0,0,1.24,0,0,0,0,0,29.79,0,0,1.46,84.65,4.99,0,0,0,0,4.9,0,1.04,0,0,3.72,6,0,15.58,0,0
