stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,25.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.25,0,0,0,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.04,13.24,0,0,28.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.37,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.54,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.09,0.81,0.84,2.38,0,0,0,1.71,0.82,5.34,0,22.94,0,0,0,0,3.84,0,0,5.11,25.18,120.33,0,0,6.53,0,2,21.44,1.96,150.74,26.29,18.15,0,0,0.83,0,0
 24-34,0,0,0.75,0,4.97,0,3.76,97.36,0.94,0,2.04,0,4.57,0,15.83,0,0,0,0,5.19,0.87,0,40.97,47.58,39.47,3.43,0,0,0,1.9,0,0.6,239.97,35.36,42.76,0,0,2.87,0,0
 36-46,0,0,0.98,0,23.19,0,9.28,301.43,0,2.62,2.02,0,7.47,0,21.43,0,0,0,0.66,6.58,1.68,0,31.56,84.51,39.83,0.6,0,7.09,0,11.98,0,0,251.11,1.85,10.05,0,0,2.68,0,0
 48-58,0,0,1.34,0,2.33,0,41.39,180.18,0,0.85,17.79,0,3.16,0,0.46,0,0,0,0.83,10.09,0,0.77,11.52,132.42,30.05,0,1.29,0,0,7,0,0,162.85,0,28.17,0,1.65,0,0,3.51
 60-70,0,0,0,2.79,6.99,0,42.45,133.48,0,0,5.65,0,5.48,0,2.89,0,0.61,0,0,42.07,0,0,32.34,111.61,13.22,0,0,0.81,0,0,0,3.4,61.97,0,13,0,0,1.05,0.98,1.87
 72-82,0,0,0,0,17.19,5.92,33.14,131.19,0,0.56,13.96,2.04,0,0.86,1.58,0,0,0,0,11.96,5.11,5.07,35.37,92.95,3.8,0,0,1.13,2.26,0,0,0.49,40.15,0,4.78,0.88,0.49,2.81,0,9.51
 84-94,0,0,2.22,0,14.83,13.07,63.58,173.29,4.17,0,12.88,0,1.43,0.64,2.56,0.58,0,0,1.55,27.34,0,0,25.98,36.95,12.51,1.79,0,0,0,21.8,0,0.74,39.5,0,8.08,0,2.44,0.56,0,0
 96-106,0,0,0,0,4.82,7.49,60.34,283.55,9.99,0,13.23,0,2.29,0.86,5.32,0,3.4,2.14,0,31.07,1.54,6.17,96.84,93.19,2.03,0.79,0,10.66,0,27.47,0,0,32.57,0,1.89,0,0,4.15,0.76,0.9
108-118,0,0,0,0,8.98,0,63.04,221.79,0.96,1.26,0.7,0.91,1.15,0.75,6.59,0,0,10,0.53,18.45,0,1.5,47.2,73.1,12.69,0,1.47,0,1.49,3.57,0,0,38.85,0,0,0,2.74,0,3.04,0.51
120,0,0,0,0,6.46,2.69,31.61,171.02,1.73,0,17.57,0,0,0,10.34,0,0,0,0,14.34,0,0,44.79,83.07,6.98,0,0,0,0,0,0,1.22,10.17,0,0,0,0,0,0,0
