stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.73,908.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,0,0,0,0,0
  5-6,44.47,653.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.11,0,0,0,15.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,7.1,0,0,4.36,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,62.15,9.78,0,0,23.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.72,0,2.48,0,0,0,3.55,0,0,0,0,0,0,0,0,0,6.17,0,0.87,83.69,2.56,0.89,1.93,0,1.6,0,0,7.12,37.92,0,0,0,0,0
 24-34,0,0,1.6,0,3.35,0,23.82,0,0,0,6.17,0.92,0,0,0,0.6,0,0.68,0,0,6.76,0,2.99,304.41,0,1.03,4.88,0,8.39,0.72,4.94,2.37,141.08,0,0,1.59,0,0
 36-46,0,0,0,0,0.6,0,65.42,0,0,0,18.04,0,0,8.33,0,0,0,0.72,0,0,11.91,0.8,3.58,489.26,0.57,5.11,0,0,5.63,0,0,0,172.86,0,0,4.72,0,0
 48-58,0,0,0,0,3.16,0,162.08,0,0,0,21.59,0,0,0,0,0,1.65,1.47,0,0,10.2,0,3.74,692.92,6.23,5.34,2.46,0,3.57,0,0,0,177.34,0,0,10.89,0,1.24
 60-70,0,0,0,0,2.84,0,307.17,1.28,7.02,1.61,22.68,1.29,0,0,0.78,0,8.15,1.03,0,9.3,20.87,0.95,0,1088.45,0,0.7,2.14,0,1.22,0,1.29,0,158.2,2.51,6.2,0,0,0.96
 72-82,0,0,0,0,0.71,0,258.09,0,0,2.32,54.11,2.01,0,0,0,0,0.86,0.91,0,0,39.96,0,0.73,747.12,0,1.67,7.65,0,3.99,0,0,0,77.88,1.21,0.75,5.48,1.32,1.14
 84-94,0,0,0.8,0,8.72,0,200.51,0,1.69,1.93,16.34,0.97,0,0,1.1,1.2,3.7,0.81,0,0,33.6,1.27,2.31,595.96,0,0.8,4.76,0,13.5,1.91,0,0,105.88,0.83,0.98,4.89,2.98,4.44
 96-106,0,0,0,0,17.14,8.36,221.27,0,0,0,46.58,1.73,0,0.73,0.72,1,0,0,0,0,28.72,0,2.2,466.3,0,5.8,1.44,0,3.85,0,0,0,46.94,0,5.54,0,2.87,0
108-118,0,0,0.99,0,11.39,1.7,227.5,0,0,0.49,33.77,1.32,0,0,3.85,0.93,1.61,3.13,2.23,0.52,31.45,0,0,498.88,0,2.55,5.84,0,6.81,0.51,0,0,30.37,0,0,10.27,1.64,1.77
120,0,0,0,0,5.5,0,207.33,0,0,0,71.53,5.74,0,10.06,0,0,0,3.45,0,0,31.59,0,0,613.49,7.66,4.15,0,0,2.41,0,0,0,20.1,0,0,7.96,0,0
