stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.81,0,0,0,0,0,0,0,0,0
  5-6,0,64.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.46,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,4.64,0,80.04,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.05,0,0,0,17.65,0,17.67,0,6.11,0,0,0,0,0,0,0
 14-21,0,0,0,126.02,0.83,0,0.82,0.92,0,1.57,1,0,0,0,6.57,0,0,0,1.89,0,0,1.12,2.4,0,0,0,0.85,0,143.56,0.9,0.91,0,3.5,0,0,3.45,0,0
 24-34,0.88,0,0,112.41,0,0,0.78,11.78,0,0,0,0,2.31,0,4.71,18.49,0,0,27.08,1,0,9.99,17.99,0.61,25.63,2.12,0,0,180.11,0,1.94,0,16.6,0,0,39.67,0,1.98
 36-46,0,0,1.67,116.18,0,0,1.5,14.47,0.73,2.26,0.65,0,1.55,0,9.08,14.23,0,7.34,19.24,0,1.42,1.6,27.91,0.84,10.49,0,0,0,171.73,0,0,0,6.91,0,0,15.04,0,0.61
 48-58,0,0,0,103.05,0,0,2.33,23.66,1.23,2.4,7.51,0,1.3,0,0.41,7.96,0,0,19.01,0.53,1.19,3.29,35.58,1.81,9.08,4.36,0,0,112.18,0,0.4,0,3.69,0,0,5.28,0,1.35
 60-70,0,0,0,95.7,0,0,11.88,23.86,0,2.8,3.23,0,0,0,1.4,24.01,0,0,37.61,3.86,0.63,2.53,25.33,1.54,7.59,0.79,0,0,156.72,0,0,0,3.11,3.65,1,17.08,1.25,1.82
 72-82,0,0,0,110.38,7.02,0,5.77,15.31,0.55,9.91,11.46,0,0.68,0,2.66,26.21,0,3.71,67.33,2.26,10.33,4.33,37.6,1.63,17.54,3.84,0,0,163.88,0,0,0,7.95,7.05,6.33,30.5,7.45,1.66
 84-94,0,0,0,228.64,4.21,0,18,51.73,7.49,7.09,21.7,0,2.88,1.88,6.21,30.46,0,0,61.35,10.31,5.67,2.85,4.32,8.03,42.74,1.88,0,5.27,401.17,1.4,3.54,0,15.79,40.92,9.24,12.55,3.18,6.85
 96-106,0,0,0,324.57,3.13,8.04,49.21,49.26,0,9.01,45.09,0,5.17,1.65,6.08,69.81,0.7,0,71.94,19.61,12.61,1.38,79.51,4.25,63.89,1.97,0,0,406.8,0,0.7,0,8.64,62.91,2.98,25.22,8.08,7.39
108-118,0.67,0,0.61,332,3.77,0.5,18.1,79.53,0.65,15.39,51.33,0,4.45,2.41,13.04,57.14,0,0,87.16,20.11,14.52,0.48,38.47,13.83,47.1,4,0,6.31,525.19,0,0,0.47,2.22,114.17,5.28,23.85,5.81,35.54
120,0,0,0,298.57,0,0,31.58,65.28,4.21,2.95,20.52,0,0,12.85,13.09,19.48,0,0,32.26,6.97,6.57,2.09,43.89,10.51,26.75,0,0,0,336.55,0,0,0,7.65,22.84,0,1.91,8.12,6.82
