stage,eye,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,otic,periderm,taste,vasculature
  7-9,0,0,0,0,0,0,5.09,0,0,0,0
 10-12,5.98,0,0,0,0,0,8.7,0,0,0,0
 14-21,0,0,0,0,0,0,3.79,0.86,0,0,0
 24-34,0,0,1.02,0,0,0,0.62,0,0,0,0
 36-46,0,0,0,0,0,0.63,1.37,0,0,0,0
 48-58,0.45,0,1.09,0,0.42,0,2.71,0,0,0,0
 60-70,1.39,0,0,0,1.77,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.23,0,0,0,0
 84-94,0,0,0,2.03,0,0,5.37,0,0,0,0
 96-106,4.48,0,0,0,0.98,0,1.34,0,0,0,0.64
108-118,0,0,0,0.56,3.19,0,6.41,0,3.65,0,0
120,0,1.85,0,0,0,0,0,0,14.03,6.72,0
