stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0
  5-6,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,44.01,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.68,0,0,0,0,0,0,0.83,24.13,0,0,0,0,0
 24-34,0,1.45,2.86,0,4.82,0,0.63,0,0,0,0,0,0,1.64,0,0.73,196.3,0,56.05,0,0,0,0.94,0,87.72,0,0,4.91,0,0
 36-46,0,0,0.83,0,5.28,0,0,0,0,0,0,0,0,2.7,0,0.99,268.14,0,76.12,0,0,0,0,0,123.42,0,0,0,0,0
 48-58,0,0,1.25,0,96.09,1.45,4.87,0,0,0,0,0,0,5.55,0,0.72,433.97,0,24.49,0,0,0,6.78,0,83.64,0,0,0,0,0
 60-70,0,0,8.79,0,297.67,0,10.59,0,0,0,0,0,0,5.83,0,0,726.58,0,28.97,0,0,0,3.53,0,91.99,0,0,2.38,0,3.54
 72-82,0,0,0,0,213.78,0.56,24.29,0,0,0,0,0,0,8.56,0,0,585.37,0,68,0,0,0,0,0,83.53,1.16,0,0.83,0,0
 84-94,0,0,3.58,8.86,154.46,0,34.86,0,0,0,0,0,0.83,5.73,3.68,3.86,464.07,0,27.88,0.7,0,0,0.86,0,30.02,0,0,0,0,1.06
 96-106,0,0,2.72,3.61,121.35,0,25.15,0.85,0.94,1.22,0,0,0,20.43,0,0,405.2,0,74.16,1.43,0,0,5.37,0,24.53,0,0,0,2.11,0
108-118,0,0,12.39,5,108.26,0,57.45,0,0,0,1.15,1.43,0,8.13,0,0,537.87,0.41,29.13,6.49,0,2.1,0,0,14.02,1.35,0.67,0,0,0
120,0,0,0,0,212.4,0,116.93,0,0,0,0,0,1.06,43.33,0,0,1168.36,0,57.26,2.35,0,0,1.13,0,76.54,0,0,6.67,0,0
