stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.34,0,0,0,0,0,0,0,0,0
  5-6,7.8,64.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.88,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,33.24,6.07,0,0,8.16,0,0,11.9,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.78,7.26,0,0,18.09,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,1.03,3.95,0,2.03,0,0,7.8,0,0,0,0,0,0,0,0,2.83,0,1.16,67.66,0,1.51,0,0,0,0.86,0,2.85,3.29,4.65,38.94,0,0,0,0
 24-34,0,0,0,0,0.61,0,4.9,0,1.23,2.78,0,0,0,0,0,0,0.77,0,2.7,0,4.21,199.16,0,13.44,0,0,0,0,0,0,0,0,49.12,0,0,0.87,0
 36-46,0,0,0,0,0,0,39.42,0,0,10.99,0,0,0,0,0,0,0,0,5.03,0,1.85,288.14,0,7.21,0,0,0,0,0,0,0,0,40.79,0,0,0.65,0
 48-58,0,0,0,0,0.48,0,64.7,0,0,9.19,0,0,0,0,0,0,0,0,5.81,0.4,3.1,276.51,0,11.73,0,0,0,0,0,0,0,0,55.21,0,0,0,0
 60-70,0,0,0,0,0,0,126.22,1.09,0,15.15,0,0,0,0,0,0,0,0,11.74,0.7,0,290.32,0,12.33,0.63,0,0,0,0,0,9.83,0,33.53,0,0,2.01,0
 72-82,0,0,1.57,0,1.04,0,92.01,0,0.59,12.57,0,0.52,0,0,0.93,0,0,0,10.45,0,0.75,192.25,0,11.9,0,0,0,0,0,0,0,0,11.62,4.21,0,0,3.79
 84-94,0,0,0,0,5.07,8.89,61.68,1.71,0.62,12.89,1.52,0,0.7,0,0,0,0,0,3.7,2.91,1.63,171.97,0,9.9,3.9,0,0,0,0,0,0,0,5.61,0,2.05,0,0
 96-106,0,0,0,0,0,0,59.21,0,0,6.47,0,0,0,0.8,0,0,0,0.71,4.74,0,5.94,112.78,0,2.42,4.15,0,0,1.12,0,0,0,0,1.63,0,0,0,0
108-118,0,0,0,0.74,5.08,0,71.96,0,0.73,14.66,0,0,0,0.69,0,1.36,0,0,19.5,0,0,174.99,0,4.83,2.2,0,3.72,0,0,0,0,0,13.69,1.6,0,0.54,0
120,0,0,0,0,0,0,32.81,0,0,10.28,0,0,0,0,0,2.98,0,0,26.41,0,0,210.59,0,12.72,1.05,0,0,0,0,0,0,0,0,0,0,0,0
