stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0
 10-12,0,7.17,0,0,0,0,0,0,0,0,0,0,0,32.59,0,0,0,13.24,0,0,0,0,0
 14-21,0,0,0.95,0,0,6.76,0,0,0,0,0,0,4.35,7.67,0,0,0,0,0.92,7.06,0.92,28.61,0
 24-34,0,0,0,0,0,4.81,0,0,0,0,0.62,0.72,0,3.53,0.7,9.97,0.82,0,0,1.63,0,16.22,0
 36-46,0,0,0,0,0,2.13,0,0,0,0,0,0.56,1.22,6.57,0,9.51,0,0,0,2.58,0,7.78,0
 48-58,0,0,0,0,1.58,5.02,0,0,0,0,0,0,0,23.56,0,2.86,0,0,0,0,0,15.9,0
 60-70,0,0,0,0,6.3,12.24,0,0,0,0,0,0,0,5.25,0,7.52,0,0,0,0,0,7.85,0
 72-82,0,0,0,0,3.8,10.05,0,0,0,0,0,2.29,0,9.55,0,4.66,1.86,0,0,0,0,6.59,0.82
 84-94,0,0,0,0,3.61,5.38,1.45,0,0,0,0,1.55,0,5.05,0,2.57,1.86,0,0,0,0,5.27,0
 96-106,0,0,0.64,21.77,4.91,14.84,0,0,0,1.9,0,1.4,0,23.8,0,6.4,2.48,0,0,0,0,0,0
108-118,0,1.06,0,0,0.59,4.42,0,0,1.7,0.53,0,0,0,6.82,0,4.35,0.48,0,0,0,0,1.33,0
120,0,0,1.18,0,1.56,0,0,6.13,0,1.54,0,0,0,27.31,0,0,4.51,0,0,8.1,0,12.38,0
