stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,13.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0
 14-21,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0.96,1.5
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,8.98,0,0,0,0,1.1,5.38,0
 36-46,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,1.02,1.42,10.34,0,0.93,0,0,0,3.9,1.47
 48-58,0,0,0,0,0,0,0.55,0,0.62,0,0,0,0,0,3.52,0,5.61,0,0,0,0,0,3.26,0
 60-70,0,0.86,0,0,2.39,0,0,0.8,0,3,0,0,0,0,0.59,0,5.98,1.42,0,0,0,0,0.87,0
 72-82,0,0,0,1.6,7.31,0,0,0,1.06,0,0,0.7,0,1.05,10.13,0,5.97,0,0,2.1,0,0,2.16,0
 84-94,0,0,2.72,4.77,0,0,0,0,2.01,0,0.55,0,0,0,0,0,0,0,0,0,0,0.94,0,0
 96-106,0,0,0,5.52,6.24,0,0,0,0.82,0,1,0,0.91,0,10.87,1.18,11.38,0,2.72,0,0,5.02,0,0
108-118,0,0,0.6,0.62,0,1.5,0,0,7.08,0,0,0,0,0,5.86,0,3.43,0,0,0,0,2.26,0,0.59
120,0,0,1.08,1.68,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,1.93,0,7.52
