stage,blastomeres,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm
  3-4,31.33,0,0,0,0,0,0
  5-6,11.13,0,0,0,0,0,0
  7-9,0,3.89,4.33,54.65,6.25,0,12.5
 10-12,0,0,0,35.37,3.1,46.53,9.73
