stage,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,somites,spinal.cord
 10-12,3.66,0,0,0,0,0,6.94,0,0
 14-21,0,0,0,0,0,0,0,0.96,0
 24-34,0,0,0,0,0,0,2.1,0,0
 36-46,0,0,0,0,0.8,0,2.07,0,0
 60-70,0,0,3.26,0.77,1.46,0,0,0,0
 72-82,0,0,2.12,0,0,0,0,0,0
 84-94,0,0,8.32,0,0,0.95,0.79,0,0
 96-106,0,0,4.61,0,0,0,3.39,0,2.89
108-118,0,0.72,11.37,0,0,0,1.41,0,0
120,0,0,3.69,0,0,0,27.01,0,0
