stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,135.55,3369.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,0,0,0,0,0,0,0,0,0
  5-6,78.25,2385.06,0,10.49,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,42.83,23.67,0,0,7.71,0,9.33,0,0,0,0,0,0,0,0,0,0
  7-9,90.65,56.77,0,74.05,0,0,0,270.59,0,0,0,0,0,93.82,0,0,0,0,0,0,0,0,0,0,0,1964.09,84.37,0,0,612.51,0,3.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,88.62,0,74.69,0,27.74,0,279.57,0,0,0,0,0,51.08,0,0,0,0,0,0,0,0,0,0,7.75,2469.26,67.72,0,0,847.74,0,0,13.98,8.37,161.45,0,4.89,0,0,0,0,0
 14-21,0,0,1.11,3.88,52.14,13.57,0,40.69,0,0,0,1.69,1.7,1.58,0,0,1.76,0,0,2.95,0,28.31,0,0,25.7,320.75,5.62,0,3.1,4.97,0,5.3,0,52.87,3.03,4.51,57.03,87.47,0,0,0,0
 24-34,0,0,0,2.93,17.59,3.1,0,50.46,0,0,3.3,8.6,1.49,0,0.98,5.13,0,0,0,1.38,0.73,52.41,0,0.69,36.42,458.66,7.16,10.67,6.85,0,0,20.4,0,1.1,0,1.6,11.41,68.31,0,4.79,0,14.59
 36-46,0,0,0,0,21.49,0,0,96.47,1.81,0,5.98,12.07,0,0,1.26,0,0,0,0,4.14,0,58.33,0.95,0,17.79,487.83,0.71,2.07,0.69,0,0,3.65,0.74,0,2.59,0,0,74.07,0,10.54,0,2.44
 48-58,0,0,0.4,0,27.95,0,0,163.82,0.68,9.15,2.56,51.57,2.39,1.7,0.85,1.28,3.13,4.44,2.08,1.04,1.21,89.02,0.56,5.12,13.74,607.46,0.48,3.93,0.74,0,0,9.54,0,0,4.27,1.13,0,78.03,0,3.47,0,9.05
 60-70,0,0,0,0,9.75,0,0,178.86,2.37,0,2.34,32.73,0.63,0,0.7,0.95,7,0,0.66,4.47,0,99.22,2.4,3.11,5.68,301.56,2.72,5.07,2.54,0,0,7.5,0,0,2.54,2.59,0,37.34,0,3.53,0,0
 72-82,0,0,2,0,14.91,3.27,1.65,166.39,1.24,0,0.89,52.48,4.55,0,0,4.17,4.65,1.67,0.74,3.12,0,94.03,0,1.42,9.13,294.49,0.5,2.46,5.13,0,0,0.9,0,0,0.64,0.79,0,28.06,0.93,8.33,3.67,7.91
 84-94,0,0,0,0,9.66,2.26,2.35,106.94,0.98,0.82,3.15,33.52,2.48,0,1.99,7.1,2.83,1.38,0,2.83,0,104.55,1.27,2.16,4.58,212.26,0,9.26,1.07,0,0,7.8,0,0,2.64,0,0,24.83,2.82,14.93,0.98,0
 96-106,0,0,2.68,0,12.71,17.1,0,90.2,0.57,1.26,9.01,45.41,4.43,0,2.66,0.66,7.68,7.04,4.75,2.5,0,63.67,0,1.33,1.18,225.34,1.99,3.76,8.34,0,9.22,11.01,0,0,0.87,0,0,12.53,0.69,0.79,1.13,3.21
108-118,0,0,0,1.06,28.2,4.73,1.83,88.53,1.07,2.52,0.47,57.29,4.69,0,1.25,2.51,1.36,1.91,0.41,6.75,1.68,76.35,5.43,4.41,9.63,271.56,1.86,3.65,5.46,0,3.85,3.51,0,0,0.41,0,0,12.61,0,14.15,0.55,14.28
120,0,0,0,0,10.35,16.87,0,142.08,0,3.61,4.59,45.69,4.61,0,5.73,17.47,0,0,2.53,1.38,1.61,121.14,0,2.21,31.23,541.22,0,0,2.64,0,13.12,5.67,0,1.12,1.97,0,0,29.14,1.56,7.4,4.32,0
