stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.67,443.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.17,388.22,0,0,0,0,0,0,0,0,0,0,0,0,64.97,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.36,0,0,17.43,0,0,0,5.37,0,0,0,0,77.28,5.42,0,23.97,0,0,0,0,0,0,0,0,0
 10-12,0,5.06,12.03,0,4.69,5.86,0,0,0,3.88,0,0,0,0,198.21,0,0,42.88,0,0,8.87,0,0,0,0,0,0
 14-21,0,0,0,2.82,0,1.72,0,0,1.26,0,0,0,0,0,4.89,0,0,0,0,3.22,0,2.58,0,0,0,0,0
 24-34,0,0,0,0.74,0,0.61,0,0,1.43,0,0.95,0,0,1,23.23,0,0,0,0.6,0,0,0.73,8.45,0,0.96,0,0
 36-46,0,0,0,0,0,2.8,0,0,1.46,0,6.5,0,0,0,15.23,0,0,0,0.57,0,0,0,3.9,0,0,0,0
 48-58,0,0,0,0,0,9.63,0.89,0,10.19,0,2.31,0,0,0,30.68,0,0,0,0,0,0,0,5.43,0,5.7,0,0.38
 60-70,0,0,0,3.2,0,1.76,0,0,2.14,0,2.81,0,0,1.33,10,0,0,0,2.58,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,4.13,0,0,2.3,0,3.55,0,0,0,5.9,0,0,0,0,0,0,0,0,1.34,0,0,0
 84-94,0,0,0,1.01,0,7.87,0,0,0,0,1.41,0.98,0,0.65,5.95,0,0,0,0,0,0,0,5.29,0,0.59,0.64,0
 96-106,0,0,0,0,0,4.89,0,0,5.03,0,3.34,0,0,1.08,6.34,0,1.39,0,3.95,0,0,0,3.37,0,0,0,0
108-118,0,0,0,1.14,0,1.21,0,0.52,0,0,1.17,0,2.68,0,13.97,0,0,0,0.68,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,2.1,0,3.53,0,0,0,12.22,0,0,0,0,0,0,0,0,0,0,0,0
