stage,blastomeres,endoderm,epidermis,eye,glial,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord,vasculature
  5-6,6.47,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.51,0,0,0,0,0,12.8,0,0,3.98,0,0
 10-12,0,0,0,5.57,0,0,0,12.48,4.42,0,12.32,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.88,0
 24-34,0,0,0,0,0,0,0.77,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.43,0
 48-58,0,0,1.62,0,0,0,0.93,0.8,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.87,0
 72-82,0,0,0,0,0,0,0,1.47,0,0,0,1.61,0
 84-94,0,0,0,1.92,0.8,0,0,0,0,0,0,0,3.53
 96-106,0,0,0,0,0,0,3.34,1.16,0,0,0,0,0
108-118,0,0,0,2.2,0,0,0,0,0,3.77,0,0,0
120,0,0,0,0,0,7.56,0,2.11,0,0,0,0,0
