stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,92.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.31,42.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.16,0,0,0,0,0
  7-9,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82,0,4.01,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,8.4,0,0,0,0
 14-21,0,0,0,2.54,9.8,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0.97,10.24,0,0,3.42,0,0,1.58,0,0
 24-34,0,0,0,0,4.85,0,0,0,0.72,0,0,0.63,1.14,0,0,2.71,0,2.06,0,0,2.54,0,0,1.63,7.34,0,0,9.4,0.6,0.6,0,0.76,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,5.78,0,0,46.22,0,0,0,0,0
 48-58,0,0,0,0,0.41,0,6.08,0.38,0.69,0.72,0.4,0,0,0,1.84,0,0,0,0,0.5,2.7,0,0.46,0,12.17,0,0,18.91,0,0,0,0,0
 60-70,0,0,0,0,0.71,0,0.88,0,2.76,0,0,0,0,0,6.07,0.59,0,0,0,8.49,5.63,0,0,0,4.2,0,0,28.43,0,0,0,11.54,0
 72-82,0,0,0,0,9.42,0.86,1.02,0,1.83,0,0,1.3,0,0,4.97,0,0,0,0,0,4.8,0,0,0,9.79,0,0,26.17,0,0,0,0,0
 84-94,0,0,0.56,0,7.7,0,5.96,0,0.66,0,0,0.67,0,0.97,14.89,0.89,0,0,0,0,0.9,1.19,0,0,0,0,0,76.88,0.96,0,0,2.03,0
 96-106,0,0,0,0,8.54,0,0,0,0,0,0,2.51,0,0.73,16.85,1.37,0.74,0,0,0,9.56,1.58,0,1.65,9.14,0.67,0,61.49,0,0,0,0.83,0
108-118,0,0,0,0,19.63,0,1.64,0,2.03,0,1.54,7.19,0,0,9.99,2.3,0,2.27,0.6,0,0,0,0,0.55,18.88,0.51,0,52.08,0,0,0,2.37,1.27
120,0,0,0,1.66,7.84,0,7.67,0,2.43,0,0,11.4,0,0,27.64,2.26,0,0,0,0,0,6.13,0,0,8.87,0,0,86.42,0,0,0,3.26,0
