stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,492.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.33,0,0,0,0,0,0,0,0
  5-6,105.1,965.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.99,34.45,0,0,9.41,15.51,0,0,0,0,0,0,0,0
  7-9,7.04,31.31,13.61,0,0,0,15.94,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,322.88,12.27,0,0,84.71,0,0,0,0,0,0,0,0,0
 10-12,0,5.43,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.54,9.3,0,0,46.52,0,0,7.77,0,0,0,0,0,0
 14-21,0,0,0,12.64,5.43,0,3.32,0,0,0,1.01,0,0,0,0,0,0,0,10.4,0,1.01,52,2.99,0,0,2.14,1.5,9.67,0,6.89,14.3,0,0,0,0
 24-34,0,0,0,6.42,0,0,6.55,0,0,0,1.06,0,0,0,0,0,0,0.9,5.32,0,0.69,46.15,0,0,0.73,0,2.6,0,0,0,7.72,0,0,0,0
 36-46,0,0,0,0,0,0,9.07,0,0,0,1.96,0,0,0,0,0,0,0,8.83,1.66,0,49.61,0,0.59,1.29,0,2.94,0,0,0,7.8,0,0,0.6,0
 48-58,0,0,0,0.42,0,0,6.67,0,0,0,3.25,0,0,0,0,0,0,0,9.48,0.41,2.38,24.5,6.35,0,0.7,0,0,0,0.38,0,5.65,0,0,0,0
 60-70,0,0,0,0.61,0,0,12.67,2.8,0,0,10.13,0.61,0,0,0,0,0,0,5.34,0.79,1.62,29.82,0,0,0,0,0,0,1.24,0,8.69,0,0.6,8.01,0
 72-82,0,0,0,0,0,0,8.44,0,0.7,0,3.38,0,0,1.16,0.65,0,0,0,16.38,0,0.61,9.53,0.53,0,0,0,0,0,0,0,6.14,0,0,0,0
 84-94,0,0,0,1.56,0,0.59,10.02,0,0,2.88,3.3,5.69,0,1.45,1.65,0,0.73,0,14.18,0,0.82,5.85,0,0.95,2.64,0,0,0,0.56,0,0,1.17,0,1.07,0
 96-106,0,0,0,0.63,0,0,0.65,0,0,0,4.48,0,0,0,0,0,0,0.7,5.64,0,0.8,11.94,0,0,0,0,2.72,0,0,0,0,0,0,0,1.19
108-118,0,0,0,2.3,0,0,0.75,0,1.45,0,0.75,1.28,0,0,0,1.48,0,0,4.56,0,0.47,12.4,0,0.6,2.25,0,3.38,0,0,0,0,0,0,0.5,0
120,0,0,0,5.92,0,0,0,0,0,0,2.94,0,0,0,1.45,0,0,0,14.32,0,5.23,29.24,0,0,0,0,1.03,0,0,0,0,0,0,0,0
