stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,88.22,1075.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.38,0,0,0,0,0,0,0,0,0,0
  5-6,105.09,509.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.56,0,0,0,9.05,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,50.27,0,0,0,33.39,3.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62,4.1,0,0,22.9,3.81,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,2.35,0,6.44,19.88,0,0,0,0,13.78,0,21.27,0,11.65,55.63,8.18,0,0,0,0
 24-34,0,0,0,0,1.27,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0,1.6,0,0,0.65,0,6.25,7.13,0,0,0,0
 36-46,0,0,0,0,0.72,0,0,7.21,1.29,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,60.84,0,0.76,0,0,0,0,0,1.25,0,0,10.97,0,0,0,0
 48-58,0,0,0,0.43,1.6,0,0,44.65,0,0,1.63,0,0,0,0,0,0,0.48,0,0,1.47,0,0.79,103.98,0,0.39,0,0,0,0,0,0,0,0,7.61,0,0,0,0
 60-70,0,0,0,2.79,0.67,0,0,839.82,1.18,1.42,10.89,0,0,0,0,0,0,0,0,4.77,21.87,0,0.88,311.84,0,1.32,0.58,0,0,0,0,0,0,0,7.57,0,0,0,0
 72-82,0,0,0,0,1.74,6.17,0,1358.77,5.6,17.66,19.31,0,0,0,1.1,0.74,0,0,1.19,0,29.52,0,5.87,256.1,0,1.29,0.66,0,0.59,0,0,0,0,0,27.27,0,0,0.76,0
 84-94,0,0,0,0,6.14,0,0,717.36,15.1,9.3,12.65,0.62,0,0,0,0,1.32,1.2,0,0.96,26.47,0,2.35,240.24,0,3.02,0,0,0,1.4,0,0,0,0,14.2,0.81,0.98,0.77,0
 96-106,0,0,0,0,0.75,4.13,0.97,1119.49,24.69,0.77,28.31,0,0,0.58,0.95,0.85,0,0.88,10.93,0,25.13,0,3.87,238.91,0,2.97,2.86,0,1.75,0,0,0,0,0,14,0,0,0.93,0
108-118,0,0,2.91,0,11.77,0,0,1139.92,15.93,4.09,13.82,1.43,0,2.14,0.97,0.81,1.13,0,2.76,0,41.39,0.48,0,351.17,0,3.87,4.32,0,0.74,0,0,0,0,0,8.89,0.71,0,0.73,0
120,0,0,0,0,0,1.19,0,653.63,8.39,3.77,31.53,0,0,0,1.29,0,0,0,2.28,0,41.86,0,13.63,429.23,0,0,0,0,0,0,0,0,0,0,9.29,0,0,0,8.94
