stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pgc,presomitic.mesoderm,spinal.cord,vasculature
  3-4,19.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,32.85,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,19.41,0,0,0,15.15,9.32,10.69,5.47,0,0,0
 14-21,0,3.24,2.02,0.81,0,0,1.08,1.09,0,1.13,7.31,0.94,17.41,0,0,0,1.8,5.95,0
 24-34,0,0,0.62,1.64,0,0,0,0,0,0,1.33,0.63,13.66,0,0,0,0,2.81,0
 36-46,0,0,0.57,1.24,0,0,0,0,0,0,6.61,0.64,14.38,0,0,0,0,3.61,0
 48-58,0,0,0,2.11,0,0,0.67,0,0,0,5.63,0.58,5.47,0,0,0,0,0,0
 60-70,0,0,0,0,5.01,0,0,0,0,0,9.13,1.01,2.38,2.55,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,7.32,0.85,0.65,0,0,0,0,0,0
 84-94,0,0,0,1.39,0,0,0,0,0,0,4.24,2.93,1.09,0,0,0,0,0,0.57
 96-106,0,0,0,3.39,0,0.97,4.5,0.93,0,0,2.25,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,3.09,0,0.98,0,0,0,0,0,0
120,0,0,0,1.29,1.33,0,0,0,0,0,5.28,0,4.58,0,0,0,0,0,0
