stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9692.16,45854.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555.96,0,0,0,0,0,0,0,0,0
  5-6,20131.82,109323.14,114.22,0,0,0,0,0,0,0,0,207.03,0,0,0,0,0,0,0,0,8900.85,2199.26,0,0,4739.36,0,598.82,0,0,0,0,0,0,0,0,0
  7-9,9421.33,937.72,2349.8,0,0,126.68,0,0,0,0,0,428.12,0,0,0,0,0,0,0,0,17401.15,16849.81,0,0,60306.9,0,41.73,311.28,0,0,0,0,0,0,0,0
 10-12,98.03,157.71,1229.58,0,6.13,73.17,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,4257.23,12301.54,0,0,15033.04,0,0,11.24,4.61,369.48,0,9.66,5.88,0,0,0
 14-21,3.7,3.23,1.33,13.75,152.13,18.91,0,0,0,0,14.1,9.68,0,4.58,0,0,49.82,0,0,9.92,219.93,9495.01,0,1.51,3061.17,0,12.17,0,1134.84,0,3.27,196.81,280.29,3,0,5.77
 24-34,0,0,0,0,4.46,5.62,0,0,14.99,2.11,1.48,0,0,1.81,0,0,14.13,3.33,0,9.74,117.81,2847.41,1.63,0.9,0,0,4.88,0,1.03,6.51,0,104.71,79.43,5.01,0,5.95
 36-46,0,0,0,0.59,0,5.12,1.27,0,13.5,0.66,0,0,0,0,0,4.51,14.38,0,0,9.77,77.66,2062.19,0.59,0,0,0,4.13,0.78,2.6,0,0,0,16.14,4.18,0,1.64
 48-58,0.77,0,0,0,0,8.96,3.41,0,10.69,1.62,0,0,0,0,0,5.05,7.35,0,0,8.51,40.49,1073.93,0,0,0,0,0,0,0,0,1.07,0,7.58,0,0,0
 60-70,0,0,0,0,0,4.77,0,0,2.6,7.38,0,0,0,0,0,0,10.37,0,0,0,27.17,574.57,0,0,0,0,0.83,0,0,0,0,0,3.62,1.22,0,0
 72-82,0,0,0,4.3,0,10.03,0,0,2.69,7.68,0,0.86,0,0,0,0,3.74,0,0.67,0,10.36,354.01,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0
 84-94,0.62,0,0,0,0.76,3.32,0,0,2.54,3.66,0,0,0,0,0,0,4.26,0,0,2.57,4.03,566.16,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0
 96-106,0,0,0,2.69,0,3.63,0.65,0,14.09,1.78,0,0,1.57,0,0,0,4.91,0,0,8.89,1.14,540.44,0,0,0,4.63,3.9,0,0,0,0,0,0,2.63,0,0
108-118,1.68,0,0,1.91,3.87,2.54,0,0,4.7,0.63,0.88,0,0,0,0,0,7.4,0,0,0.76,20.81,692.64,0,1.08,0,0,0.83,0,0,0,0,0,3.54,0,0,0
120,4.73,0,0,0,0,0,0,1.45,0,0,0,0,0,0,3.42,0,8.03,0,0,0,43.61,741.42,0,0,0,0,1.36,0,0,0,0,0,8.38,0,4.27,0
