stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,1.03,0.95,0,0,1,0,0,0,0,4.95,1.56,0,0,0.84,6.99,0,0,0,0,0,1.94,2.55,2.01,0,0,0
 24-34,1.26,0,1.82,0,0,3.07,0,0,0,0,0.68,0,0,0.95,21.76,0,0,1.95,0,0,0,0,2.64,0,0,7.83
 36-46,1.3,0,0,0,0,0,0.75,0,0,0,1.51,0,0,1.17,13.44,0,0,0,0,0,0,0,6.29,0,1.42,0.67
 48-58,4.5,0,1.34,0.6,1,0,0,0.39,0,0,2.18,0,0,0.91,2.32,0,0,1.22,0,0,0,0,2.17,0,2.74,0.63
 60-70,3.58,0,0,0,4.63,0,0,0,0,0,12.49,0,0,0,0,1,1.15,0,0,0.9,0,0,8.99,0,0.86,7.58
 72-82,0,0,0,0,4.02,0,0,0,0.66,0,4.24,0.55,0,0.56,1.26,0,0,0,0,0,0,0,0,0,0,0
 84-94,1.61,0,0,0.76,0,0,0,0,0,0,4.59,0.61,0,1.02,1.59,0,0,0,0,0,0,0,0.77,0,2.38,0
 96-106,0,0,0,0,0.59,0,0,0,0,0,5.16,0,0,1.44,1.55,0.57,0,0,0,4.57,0,0,0,1.57,1.38,0
108-118,0,0,0.45,0,0,0,0,0,0,0,2.34,1.29,1.48,0,1.96,0,0,0,0,0,0,0,1.23,0,0,0
120,0,0,4.16,1.06,0,0,0,7.23,0,0,1.54,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0
