stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.49,222.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0
  5-6,15.87,122.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.3,0,0,0,21.82,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,100.81,3.6,0,0,29.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.16,0,0,0,27.02,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,250.24,15.15,0,0,98.31,0,3.03,4.61,3.78,0,0,0,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,17.1,0,0,0,0,1.66,0,2.69,0,1.33,8.9,0,1.01,0,0
 24-34,0,0,0,4.77,0,0.86,0,0,2.54,0,0,0,0,0,0,0,0,3.11,0,0,4.12,81.49,0,1.71,0,0,3.17,0,0,0,0.9,24.91,0,3.41,0,0
 36-46,0,0,0,2.06,0,10.38,0,3.55,0.83,0,0,0,0,0,0,0,0,1.72,0,0,1.27,158.13,0,0.56,0.66,0,4.5,0,0,0,0,28.27,0,0,0,0
 48-58,0,0,0,4.16,0,22.82,0,1.45,6.56,0,0,2.16,0,0,0,0,0,7.62,0,0,0.4,144.4,0.48,0.86,0,0,2.66,0,0,0,0,38.06,0,0,0,0
 60-70,0,0,0,0,0,22.48,5.42,0,7.77,0,0,0,3.71,0,0,0,2.31,7.35,0,0,1.26,149.59,6.27,0.98,0,0,1.16,0,0,0,0,6.71,0,0,0,0
 72-82,0,0,0,0.52,1.81,37.6,0,0.75,1.56,0,0,0,0,0,0,0,0,12.5,0,0,1.22,103.86,0,0,0,0,5.79,0,0,0,0,12.53,0.85,4.4,0,0
 84-94,0,0,0,2.85,7.23,30.21,0,1.19,2.45,0.71,0,0,1.81,0.86,0,0,0,27.88,1.01,0,1.76,99,0,0.56,0,0,11.7,0,0,0,0,11.75,0,2.44,0.96,0
 96-106,0,0,0,4.89,8.58,20.01,1.42,0,6.01,0.89,0,0,0,0,2.39,1.87,0,9.95,0,0,0.68,66.07,0,2.69,0.79,0,10.22,0,0,1.05,0,0,0,0,0,0
108-118,0,0,0,7.52,2.47,19,0,0,9.02,0.49,0,0,0,2.32,0,0,0,12.49,0,1.33,0,62.54,3.15,0,0,0,5.7,0,0,0,0,6.48,0,2.93,2.14,0.59
120,0,0,0,1.39,0,14.73,0,5.31,7.24,0,0,0,5.25,0,0,0,0,0,11.34,0,3.56,119.6,0,0,0,0,10.34,0,0,0,0,0,0,0,0,0
