stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,mesenchyme,muscle,neural,otic,paraxial.mesoderm,slow.muscle,spinal.cord
  5-6,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0
 14-21,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0.98
 36-46,0,0,0,0,0,0,0,0,0,3.89,0,0,1.53,0
 48-58,0,0,0,0.49,0,0,0,0.66,0.4,0,2.73,0,0,0.48
 60-70,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,8.93,0,0.91,0,0,0,0.8,2.5,0,0,0
 84-94,0,0,0,38.02,13.76,0,0,2.17,0,0,0,0,0,0
 96-106,0,0,9.5,34.87,92.92,1.78,3.38,0,0,3.77,0.65,0,1.92,0
108-118,0,0,0,34.96,50.38,0,0,1.39,0,0.75,4.03,0,0,0
120,0,0,0,18.94,40.64,0,0,0,0,0,0,0,0,0
