stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0
 10-12,0,0,7.5,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0
 24-34,0,0.75,0,0,0,0,0,0,0,0,0,0,0,26.15,0,0,1.79,0,0,0
 36-46,0,0,0,0,0,0,3.91,0,0,0,0,0,0.75,85.74,0.76,0,1.81,0,0,0
 48-58,0,0,0,0,2.17,0,1.41,0,0.87,0,0,0,0,79.68,0,0,0.87,0,0,0
 60-70,0,0,0,2.89,18.66,0,10.65,0,0,0,0,0,0,171.86,0,0,3.11,0,0,0
 72-82,0,0.62,0,0,12.48,0,1.2,0,0,0,0,6.42,0,163.29,0,1.62,6.34,0,0,0
 84-94,0,0,0,0,27.86,0,9.15,0,0,0,0,0.85,6.93,195.14,0,0,0,0,0.6,0
 96-106,0,0.94,0,0,29.49,3.11,0,1.09,0,0,0,0.81,0,187.58,0,0,1.35,1.13,0,0
108-118,0,0,0,0.44,28.18,1.29,9.79,0,0,0,0,0.88,0,172.27,0,0,0,0,0,0.68
120,0,0,0,0,157.63,0,6.49,0,0,3.35,1.05,0,0,538.47,0,0,0,0,0,0
