stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,15.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,3.32,18.24,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,2.77,0,1.43,2.17,25.44,0,0.62,0,0,0
 48-58,0,0,0.45,0,0,4.35,1.03,0,0.41,0,1.42,0,0,0,0.57,0,0,5.6,0,1.15,8.21,9.8,0,3.4,0,0,0
 60-70,0,0,2.08,0,0,2.95,0,0,0,0,0,0,0,0,3.8,0,0,10.42,0,4.26,7.55,22.01,1.24,2.35,0,0,0
 72-82,0,0,0.66,0,0,5.56,0,1,0.76,0.59,2.32,0,0,0,4.79,0,0.78,14.01,0,4.49,144.68,12.85,0,0,0,0,1.16
 84-94,0,0,7.46,0,0,0,0,0,0.6,0.73,0,0,0,0,6.53,0.59,0,0,0,5.59,99.52,21.75,0,0,6.28,0,0
 96-106,0,0,30.63,1.9,0,1.21,0.98,1.43,0,0,1.06,2.39,2.13,0,6.6,0,0,13.82,0,12.66,211.53,24.48,0,0,0,0.89,0
108-118,0,0,5.47,0,1.39,4.37,0,1.32,0,0,0,0,0,3.46,3.84,0,0,3.29,0.86,5.65,251.09,15.25,0,0,0,0,0
120,3.35,0,15.37,0,0,10.81,0,0,0,0,0,0,4.03,0,9.31,0,0,8.61,0,12.71,250.74,18.1,0,0,0,0,0
