stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,150.83,2284.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.46,0,0,0,0,0,0,0,0,0,0
  5-6,82.3,1566.5,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,49.55,0,0,0,20.99,0,7.75,0,0,0,0,0,0,0,0,0,0
  7-9,26.66,48.93,0,27.12,0,0,143.54,0,0,0,0,0,43.78,0,0,0,0,0,0,0,0,0,0,0,1255.49,76.63,0,0,216.04,0,4.16,5.74,0,0,0,0,0,0,0,0,0
 10-12,4.89,8.81,0,135.01,0,9.65,98.64,0,0,0,0,0,97.81,0,0,0,0,0,0,0,0,0,0,0,1937.11,114.34,0,0,269.31,0,0,31.31,0,20.58,5.05,0,0,0,0,0,0
 14-21,0,0,0,8.1,175.26,7.31,20.95,0,0,0,3.34,3.77,2.9,0,0.92,0,0,1.12,0,0.86,32.29,0,0,25.68,150.25,17.22,0,4.03,3.69,0,9.29,4.2,14.64,0.83,17.49,55.39,0,0,1.09,0,5.47
 24-34,0,0,0,3.12,15.4,1.73,14.67,0,5.68,3.41,8.15,2.08,0,3.55,2.99,3.8,0,0.68,0,6.55,33.13,1.3,0,18.21,142.07,2.43,1.51,4.98,0,0,13.69,0,0,0.78,2.5,72.43,0,0,20.94,0,44.78
 36-46,0,0,0,0.96,9.52,0.76,7.55,0,0,3.64,23.35,0,0,3.49,5.37,0,0.65,1.74,0,0,52.08,0.72,1.86,18.86,163.36,0,4.58,5.12,0,0,36.05,0,0,0,0,52.52,0,0.62,18.52,0,138.19
 48-58,0,0,0,0.43,6.48,3.01,19.01,0,3.89,2.84,23.65,0,0,0,3.06,0,0,0.71,0.37,5.54,60.45,0,3.35,10.3,50.19,3.43,2.85,2.64,0,0,22.56,0,0,0,0,43.22,0,0,4.56,0,101.41
 60-70,0,0,0,0,3.74,0,16,0,2.79,13.45,19.66,0,0,0,9.95,0.59,1.56,3.35,3.29,0.86,97.77,0,10.16,9.69,27.22,1.13,4.66,4.03,0,0,25.22,0,0,0,0,13.46,0,1.43,0,3.17,160.83
 72-82,0,0,0.69,0.75,2.71,0,17.11,0,0,0.54,22.76,3.47,0,0.53,10.84,0,2.08,1.28,1.08,3.49,82.52,0,4.72,5.32,26.56,0,9.17,9.83,0,0,5.33,0,0,0,0,0.81,0,2.14,16.38,0.91,79.76
 84-94,0,0,0,0,7.77,0,20.13,0,1.34,2.54,23.6,3.92,0,2.73,12.18,0.62,1.61,1.23,2.07,0,45.47,0,1.03,5.12,35.2,0,0.86,7.95,0,0.79,12.67,0,0,0,0,3.22,1.46,3.36,14.75,4.03,45.87
 96-106,0,0,9.44,0,20.99,0.63,11.33,0.71,0.61,1.8,29.58,5.18,0,0,20.15,0,7.54,3.15,0,0,79.17,0,3.1,2.64,27.66,0,10.74,8.46,0,4.97,23.44,0,0,0,0,0,2.74,1.3,10.4,6.92,44.9
108-118,0,0,0,0.45,18.52,0,7.69,0,3.73,4.83,26.59,4.09,0,2.41,22.87,3.3,3.13,0,2.71,0.53,41.96,1.46,3.87,4.23,33.48,0,4.58,4.01,0,3,3.17,0,0,0,0,2.58,0,0.57,10.07,0.62,28.09
120,0,0,0,0,19.82,0,19.75,0,0,0,35.63,5.53,0,0,20.49,0,4.85,1.07,0,0,96.64,0,13.87,3.49,35,5.56,1.32,4.45,0,2.67,11.02,0,0,0,0,3.65,0,0,10.67,0,17.01
