stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,10.18,42.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0
 24-34,0,0,0,11.87,0,0,0,0,0,0,0,0,0,5.05,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,1.35,0,0,0,0,0,0,10.38,0,0,0,3.18,0.57
 48-58,0,0,0,0,0.78,0,0,0,0,0,0.5,0,0.75,1.25,0,0,0,0,0
 60-70,0,0,0,0,0,3.07,0,8.43,0,0,0,3.21,0,10.51,0,0,0,0,0
 72-82,0,0,0,0,2.72,0,0,21.37,0,0,0,0.75,0,9.77,0,0,0,0,1.32
 84-94,0,0,1.05,0,0.9,0,0.71,17.53,0,0,0,1.51,0,2.56,0.68,0,1.66,0,0
 96-106,0,0,0,0,0,0,0.92,35.05,0.82,4.97,0,3.4,0,2.09,0,0,5.03,0,0
108-118,0,0,0,2.15,2.77,0,0,30.8,0,0,0,2.58,0,4.73,0,0,0,0,0
120,0,0,0,0,4.68,0,0,72.68,0,0,0,0,0,3.29,0,0,0,0,0
