stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,26.59,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.75,0,0,0,21.37,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.35,6.97,7.46,0,0.86,0,0,0,0,13.51,0,0,0,0,0,0,0,0,40.2,0,0,24.1,23.04,6.23,0,0,0,0,3.61,0,0.84,0,10.35,8.35,4.37,0,0,0,0,0
 24-34,0,0,0,4.29,0,0,5.7,0,0,1.45,0,5.59,0,0.89,0,0,0,0,0,0,406.7,0,0,235.48,66.68,0,0.65,2.25,0,0,8.67,0.98,0,6.59,7.33,10.03,8,0,0,0,0,0
 36-46,0,0,0,1.49,0,0,21.5,0,0,8.76,0,0,0,0,0,0,0,0.62,0,0,1119.37,0,0,269.68,41.87,0,0,0.58,0,0,1.79,0,0,1.31,12.62,0,7.87,0,0,0,0,0
 48-58,0,0,0,3.25,0,0,26.5,0,5.32,11.29,4.19,0,2.63,0,0.47,0,0,2.94,0,0,1047.24,0,0,131.18,44.19,0,0,12.45,0,0,7.69,0,0,5.91,16.73,0,8.58,0,1.01,2.13,0,0
 60-70,0,0,0,1.71,0,0,120.88,4.19,7.38,22.44,9.72,2.49,0,0,4.06,0,0,0,0,0,1331.55,1.7,0,96.42,41.06,0,2.66,163.62,0,0,0,0,0,13.66,5.9,0,0,0,9.88,0,0,9.45
 72-82,0,0,0,7.6,1.89,0,247.98,0.76,0.58,1.56,8.45,1.92,0,0,3,0.5,0,2.32,0,9.45,1781.78,0,3.83,71.99,59.73,0,3.18,282.42,0,2.13,0,0,0,10.44,1.54,0,5.98,0,8.03,0.65,0,2.01
 84-94,0,0,0,18.92,0.59,0,432.21,0,0,6.15,6.41,0,0,0,0,3.19,0,2.31,0,31.73,1859.53,1.04,3.33,108.63,57.57,0,12.52,315.25,0,0,1.78,0,0,43.03,4.84,0,3,0,6.05,0,0,8.24
 96-106,0,2,0,46.95,0,3.61,319.95,1.23,13.72,0,6.55,0,0,0,1.95,5.2,0,10.13,0,2.17,1325.44,1.65,27.24,30.86,41.17,0.57,12.92,483.85,0,2.98,1.4,0,0,25.01,4,0,7.14,0,7.21,3.99,0,1.63
108-118,0,0,0.74,18.04,7.65,0,400.78,0,5.7,5.8,14.45,1.58,0,0,0,2.26,2.75,15.16,0,9.83,1599.45,0,36.64,48.48,119.68,0.43,9.11,611.27,0,5.54,1.84,0,0,21.1,1.39,0,2.78,0,7.42,1.87,4.27,6.18
120,0,0,0,68.37,6.93,0,159.33,0,5.11,1.66,26.42,0,0,0,0,6.92,0,14.39,1.84,5.05,1539.42,0,10.27,76.28,105.7,0,6.09,649.65,0,16.5,0,0,0,15.29,0,0,3.82,2.46,18.54,3.54,0,0
