stage,glial,neural,olfactory,otic,pronephros,somites,spinal_cord
 14-21,2.85,0,0,0,2.38,0.81,0
 24-34,0,0,0,0,0,0,0.63
 36-46,1.3,1.15,0,0,2.03,0,1.63
 48-58,1.23,0,0,0,0,0,0.62
 60-70,0,0.69,0,0.65,0,0,0
 72-82,0.75,5.43,3.1,0,0,0,1.83
 84-94,0,6.06,0,0,0,0,10.93
 96-106,0,0,0,0,0,0,0.94
120,8.28,0,0,0,0,0,0
