stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.96,309.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.16,324.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.97,17.93,0,0,35.04,0,0,17.96,0,0,0,0,0,0,0,0,0
 10-12,0,15.29,0,11.64,0,0,25.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.86,17.77,0,0,11.64,0,0,3.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.05,2.79,1.91,0.96,0,0,0,2.87,1.99,0.99,0,0,0,0,0,0,0,3.11,0,0,0.85,68.32,1.65,0,0.8,2.1,0,0,0,6,1.05,1.04,57.71,0,0,0,0,0
 24-34,0,0,0,0.7,4.12,1.37,2.71,0,0,0.7,0.94,1.74,0,2.06,0,0,0,0,0,0,31.02,0,0,9.32,441.65,4.66,16.81,0,0,0,0.85,0.98,0,0,0,102.82,0,0,5.61,0,0
 36-46,0,0,0,0,0.83,0.73,16.29,0,0,0.78,3.48,0.66,0,4.2,0,0.56,0,0,0,0,15.96,0,0,12.05,608.75,0,4.62,0,0,0,10.38,0,0,0,0,105.71,0,0,7.49,0,12.62
 48-58,0,0,0,0,11.58,0,69.79,0,2.01,0,2.97,0,0,0.67,1.04,0,0.53,0.43,0,2.19,16.53,0,0,5.72,794.24,6.9,3.83,0,0,0,0.5,0.56,0,0,0,133.71,0,0.42,2.37,0,12
 60-70,0,0,0,0,15.33,0,311.01,0,1.82,2.27,21.11,0,0,0,4.6,0,0,0.69,0,0.86,36.04,0,6.09,0.77,1363.74,8.16,11.32,0,0,0.71,14.63,0,0,0,0,176.21,0.61,0.9,3.82,0.73,27.54
 72-82,0,0,0,0,11.66,0,530.94,0,0,4.42,30.28,0,0,0,2.32,0,0.57,2.88,0.57,0,63.58,0,1.08,5.64,1450.33,0,17.94,1.44,0,0,0,0,0,0,0,147.28,1.21,3.42,8.45,1.99,2.89
 84-94,0,0,2.72,0,11.61,1.27,371.44,0,0,0,29.96,1.01,0,0,1.85,1.15,3.64,0,3.06,0.91,52.12,0,3.77,7.12,722.27,0,12.53,4.31,0,0,3.39,0,0,0,0,153.08,0,1.5,3.57,3.41,4.93
 96-106,0,0,2.49,0,3.08,2.82,303.67,0,0.91,0,16.89,2.45,0,0,2.23,0,3.29,0.63,10.92,1.71,67.42,2.26,1.68,5.68,585.28,0,19.64,2.49,0,1.45,1.7,0,0,0,0,31.86,0,0,3.05,0,12.48
108-118,0,0,0,0,8.06,0.76,393.58,1.47,1.03,6.29,39.13,0.85,0,0,1.4,0,9.78,0,6.02,1.5,71.95,0,4.08,3.49,875.1,1.31,6.74,2.63,0,4.44,5.29,0,0,0,0,32.21,0,5.82,3.22,6.42,10.81
120,0,0,0,0,34.55,11.55,245.55,0,1.14,4.21,38.54,9.76,0,0,3.89,0,4.74,2.07,1.67,0,106.09,0,2.33,7.39,1775.01,1.96,17.78,7.62,0,21.24,0,0,0,0,0,58.6,2.31,7.08,38.82,5.05,0
