stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,75.88,1262.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0
  5-6,18.56,730.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,16.84,0,0,9.21,0,9.78,0,0,0,0,0,0,0
  7-9,3.58,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.33,0,0,0,61.05,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.22,0,0,0,7.34,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.24,0,0,0,0,0,0,0,0,0,8,0,3.52,0,0,8.42,0,0,0,0,0,0,0.89,0,2.24,0.93,0,0,0
 24-34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.66,0,0.6,13.57,0,0,0,0,0,1.24,0,0,0,3.67,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.91,0,0,21.38,0,0,1.34,0,0,0,0,3.78,0,0.81,0,0,0
 48-58,0,0,0,0,3.34,0,9.01,0,5.66,0.49,0,0,0.44,0,0.87,9.35,0,0,35.09,0,0,0,0,0.56,3.2,0,0,0,4.53,0,0,0
 60-70,0,0,0,0,0,0,25.99,0,0.84,10.56,0,0,0.63,0,0,19.38,0,0,47.94,0,0,0,0,0,0.65,0,0,0,8.29,1.75,0,0
 72-82,0,0,0,0,3.4,0,15.93,0,0.94,6.97,0,0,0,0,0,69.1,1.14,0.78,16.28,0,0,1.09,0,0,0,0,0,0,13.92,2.18,0,0
 84-94,0,0,0,0,0,0,8.87,0,0,6.99,2.8,0,0,0,0,73.21,0,0,19.22,0,0,0.65,0,0,0,0,0,0,3.18,0,2.65,0
 96-106,0,0,1.95,0,3.98,0,17.29,0.57,2.93,9.36,0,0.99,0.63,0,0,111.8,0,7.14,23.84,0,0,1.07,0,0,1.88,0,0,0,0,0,0,0
108-118,0,0,0,0,1.35,0,1.84,0,5.85,8.51,0,0.49,1.7,0,0,186.03,2.44,3.59,21.97,0,1.68,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,7.67,2.68,0,0,0,9.04,0,3.5,0,7.37,0,177.78,0,4.28,46.68,0,0,0,0,0,0,0,0,0,0,0,0,2.33
