stage,blastomeres,eye,fin.mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,pgc,pronephros,spinal.cord
  5-6,6.93,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,12.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.68,0,0,0
 14-21,0,0.92,0,1.08,0,0,0,16.67,0,1.16,0,2.13
 24-34,0,3.12,0,1.9,0,0,0,22.38,0,0,0,6.49
 36-46,0,0,0,0,0,0,0,2.22,0,0,0,0
 48-58,0,0.61,0.41,0,0,0.4,0.62,2.97,0,0,1.52,0
 60-70,0,7.84,0,0.65,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.11,0,0.73,0,1.73,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.7,0,0
108-118,0,0,0,0,0.58,0.91,0,0,0,0,0,0
