stage,epidermis,glial,mesenchyme,mucous,neural,periderm
 10-12,0,0,0,0,9.56,0
 48-58,0,0,0,0,0,1.84
 72-82,0.98,2.47,0.85,0,0,0.75
 84-94,0.64,0,0,0,0,1.85
 96-106,0,0,0,2.72,0,1.4
108-118,0.67,0,0,0,0,5.41
120,4.3,0,0,0,0,2.44
