stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,179.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,202.13,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.49,8.21,0,5.32,0,0,29.44,0,0,0,0,0,15.91,0,0,0,0,0,0,0,0,0,0,141.78,4.17,0,0,92.04,0,0,5.15,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.05,0,0,7.53,0,0,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,269.3,0,0,0,44.07,0,0,0,0,19.91,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.95,1.41,2.85,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,2.3,20.21,0,0,0,5.81,0,0,0,2.75,0,1.99,2.62,1.93,0,0.9,0,0
 24-34,0,0,0.71,0.59,3.09,0,11.36,0,0,0,0.91,0,0,1.85,0,0,1.42,0,0,10.81,0,0.81,6.58,39.82,2.89,0,0,0,0,0.76,0,0,0,0,0.66,3.87,0,0.88,0,0
 36-46,0,0,0,0,2.84,0,5.63,0,0,0,2.48,0,0,1.34,1.52,0,1.09,0,0,13.63,0,13.42,4.99,62.51,2.37,0,0,0,0,11.2,0.81,3.29,0,0,0,5.21,0,3.54,0,0
 48-58,0,0,0.54,0,2.02,0,12.93,0,0,0,11.58,1.54,0,0.44,0.39,0,0,0,0,22.17,0,0,2.95,52.86,5.54,0,0.59,0,0,2.08,0,0,0,0,0,4.67,0,0,0,2.82
 60-70,0,0,0,0,3.27,0,22.2,0,1.12,0.72,3.58,0,0,0,0,0,0,0,0,27.65,0,0,6.6,79.67,0,0.98,0,0,1.19,0.83,0,0,0,0,0,12.36,1.03,6.62,0,0
 72-82,0,0,0.69,0,1.83,0,23.28,0.82,0,0,11.95,0,0,0,0,0,0,0.62,0,31.6,0.73,1.14,2.82,61.79,0,0,0.81,0,2.37,0,0,0,0,2.68,0,1.64,3.35,0.94,0,3.4
 84-94,0,0,0,0,3.54,0,23.36,0,0,0.62,7.1,0,0.99,1.46,3.31,0,0,0,0,45.56,0,4.34,7.88,38.98,0.59,2.29,4.99,0,2.68,1.3,0,0,1.47,0,0,13.09,0,1.16,0.92,0
 96-106,0,0,0,0,2.32,0,5.27,0.64,0,1.54,26.76,0.62,0,0.75,2.64,0.57,1.99,0,0.57,32.39,0,2.82,0,38.54,2.04,1.6,0.6,0,0,2.24,0,0,0,0,0,0.58,0,1.29,0,0
108-118,0,0,0,0,0.94,0,9.49,0,1.5,1.04,14.88,1.21,0,0.71,0,2.15,1.36,0,0,42.54,0,1.62,0.48,58.13,1.65,2.98,4.85,0,4.02,2.56,0,0,0,0,0,1.38,0,2.57,0,0.59
120,0,0,0,0,7.78,0,13.85,0,0,0,19.72,0,0,0,0,1.17,0,0,0,18.95,0,6.81,0,90.01,3.96,2.34,3.91,0,0,0,0,0,1.21,0,0,0,0,15.04,0,0
