stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  5-6,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.77,0,0,0,0,0,0,0,0,0,0,38.67,3.92,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,16.44,7.9,0,0,0,0,0,0
 14-21,0,0,0.94,0,0,0,0,0,0,0,0,0,15.98,0.82,0,0.85,0,2.01,0,0
 24-34,0,0,0,0.68,0,0,0,0,0.97,1.78,0,0,24.26,0,0,0,0,0,1.51,0
 36-46,0,0,0,1.64,0,0,0,0,0,0,0,0.92,22.49,0,0,0,0,0,4.03,0
 48-58,0,0,0.6,15.93,0,5.21,0,0,0,2.2,0,0.62,21.36,0,0,0,0,0,2.84,0
 60-70,0,0,0,0.83,0,0,0,0,0,7.29,0,0.61,7.53,0,12.85,0,0,0,0,0
 72-82,0,0,1.06,4.58,0,0,0.67,0,0,0.62,1.3,4.23,2.35,0,0.57,0,0,0,0,1.87
 84-94,0,0,0.71,11.86,0,0.76,0,0,0,11.32,0,0,9.28,0,0,0,0.57,0,0,0
 96-106,0,0,0,1.49,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.46,0,0,0,2.57,0,0.95,0,1.43,4.33,0,0,0,0,0,0,0
120,0,0,0,4.7,1.41,0,0,0,0,1.25,0,1.81,24.64,0,3,0,0,0,0,0
