stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,13.94,0,0,0,0,0,0,0,0,0
  5-6,0,18.93,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,3.3,0,0,0,0,30.09,0,0,0
 10-12,0,5.11,0,0,4.39,0,0,30.2,4.84,0,0
 14-21,0,0,0,1.66,0,0,0,3.55,0,0,1.12
 24-34,0,0,0,0,0,0,0,6.42,0,0,1.88
 36-46,0,0,0,0,0.8,0,0.56,4.12,0,0,1.09
 48-58,0,0,0,0,5.25,0,0,7.35,0,0,0.44
 60-70,0,0,0,0,1.35,0.99,0,7.1,0,0,0
 72-82,0,0,0,0,7.05,0,0,0,0,0,1.17
 84-94,0,0,0,0,2.08,0,0,2.27,0,0,1.23
 96-106,0,0,0,0,0,1.05,0,0,0,1.28,0
108-118,0,0,0,0.69,0,0,2.82,2.11,0,0,0
120,0,0,0,3.42,0,0,0,3.57,0,0,0
