stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,48.52,0,0,13.56,0,0,0,0,0,0,15.7,0,0,0,0,0,0,0,0,15.14,0,0,0,8.94,0,0,0,0,0,0
 10-12,0,0,0,6.57,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,5.15,17.46,0,0,0,3.3,0,0,0,0,0
 14-21,0,0,0,0,21.76,0,0,0,0,0,25.8,0,2.84,0.92,0,0.87,1.94,0,0,18.69,6.41,0,1.88,0,312.9,0.89,1.31,0,0,0
 24-34,0,0,0,0,7.14,0,0,0,3.02,0,28.15,0,24.13,4.47,0,1.43,15.79,0,0,12.34,0.7,37.58,3.93,0,143.71,0,0,0.74,7.03,0
 36-46,0,0,0,0,8.73,0,3.6,0,0,0,7.29,0,26.83,8.4,0,0,50.84,0,0,8.55,0,35.59,0,0,38.01,0,0,3.52,0,0
 48-58,0,0,0,0,3.19,0,4.51,0.54,2.98,0,6.96,0,54.43,4.32,0,1.07,34.01,0,0,3.74,0,15.63,6.02,0,4.6,0,0,1.14,0.74,0
 60-70,0,0,1.73,0,16.93,0,16.57,0.81,0,0,0,0,64.64,8.16,0,1.7,30.4,0,0,7.46,0,18.51,2.68,0,12.19,0,0,0,0,0
 72-82,0,0,1.76,0,28.24,0,23.24,0,0,8.25,0.5,0,146.91,33.99,0,2.54,79.05,3.97,1.31,23.92,0,19.6,0.85,0,17.81,0,0,0.66,0,0
 84-94,0,0,0,0,83.09,0,19.52,0,0,9.18,3.97,0,177.6,74.38,0.96,2.34,107.94,0,0,2.25,0,78.19,2.81,0,42.47,0,0,0,0,0
 96-106,0,0,1.06,0,107.07,10.06,33.56,1.75,0,21.85,0,0,347.25,77,0,14.43,116.16,0.84,1.43,30.34,0,99.94,1.25,0,36.17,0,0,0,0,3.56
108-118,3.02,0,0,0,129.27,0,14.18,0,1.16,13.01,0,2.04,230.73,72.19,0,5.82,95.71,0,0,23.75,0,97.08,1.65,0,21.18,0,0,0,0,4.48
120,0,0,0,0,46.48,0,8.8,0,0,9.9,0,0,175.88,52.59,0,0,47.32,0,0,29.97,0,38.02,0,0,25.91,0,0,0,0,0
