stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.49,186.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.57,158.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,0,7.68,0,0,0,0,0,0,0,0
  7-9,13.98,0,11.62,0,0,0,36.98,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,258.15,6.09,0,54.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.55,0,0,0,16.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.11,17.95,0,100.87,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.71,21.93,3.71,0,16.13,0,0,5.03,0,0.85,0,0,0,0,0,9.21,0,0,3.66,118.85,7.4,1.05,3.23,0,7.84,23.37,0.84,26.13,21.48,0,0,0,0
 24-34,0,0,1.25,2.19,2.2,0,11.67,0,0,2.03,0.59,0,0,0,0.7,0,0.62,7.77,0,0,3.5,141.3,0,0,0,0,9.18,0,0,3.13,32.11,0,0,0,0
 36-46,0,0,0,2.06,0,0,33.81,0,0,0.76,2.36,0,0,0,0,0,0,5.95,0,0,2.38,51.61,1.18,0,0,0,0.57,0,0,0,5.94,0,2.36,0,0
 48-58,0,0,0,5.13,0,0,32.23,0,0,14.03,0,0,0,0,0,0,0,7.37,0,0.56,4.74,61.59,4.26,0,0,0,0,0,0,0,10.57,0,0,0,0
 60-70,0,0,0,1.45,0,0,31.45,0,0,8.04,0,0,0,0,1.13,2.06,0,3.97,0,0,0.67,48.13,2.35,0,0,0,1.18,0,0,0,3.02,0,0,0,0
 72-82,0,0,0,0.68,0.53,0,12.07,0,0.51,6.62,0,0,0,0,0.81,1.55,0,12.51,0,0,0,27.96,0,0,0,0,0,0,0,0,2.42,0,1.51,0,0
 84-94,0,0,0,0,0,0,7.51,0,1.71,3.31,0,0,0.65,0,0,0.63,0,9.83,0,0,0,19.64,0.67,0,0,0,0.6,0,0,0,0,0,0,1.02,0
 96-106,0,0,0,7.23,1.66,0,18.54,2.93,0,13.85,0,0,0.8,0,1.1,0,0,33.2,0,0,2.07,39.24,0.68,2.76,0,0,0.56,0,0,0,12.55,0.78,0,0,0
108-118,0,0,0,4.83,1.62,0.57,17.71,0,0,14.77,0,0,0,1.18,0,0,0,22.24,1.38,0.56,4.15,28.67,0.46,0.44,0,1.31,3.16,0,0,0,2.41,0,1.05,0.54,0.48
120,1.19,0,0,3.92,3.15,0,17.22,4.56,0,10.9,1.52,0,4.18,0,0,0,0,30.16,0,0,4.38,28.6,0,2.8,0,0,0,0,0,0,0,10.18,0,0,0
