stage,eye,mesenchyme,neural,periderm,spinal.cord
 36-46,0,0.72,0,0,0
 48-58,0.71,0,3.32,0,1.09
 60-70,0,0,2.71,0,1.44
 72-82,0,0,7.83,0,0
108-118,0,0,2.59,0,0
120,0,0,0,5.31,0
