stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.61,0,0,0,0,0,0,0,0,0,0,0,5.97,0,0,0,0,458.21,2.12,0,0,0,0
 24-34,0,4.72,3.18,5.24,0,0,0,0,7.1,0,0,0,0,0,0,18.03,0,0.89,0,0.98,801.77,10.33,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.8,8.63,0,0,0.85,0.81,0,0.92,24.22,0,0,0,0,582.71,0,0,0,0,0
 48-58,0,0,0,0,0,1.67,0,0.65,2.37,0,0,6.3,0.59,0.37,0,18.17,0,0,0,3.16,268.76,2.96,0,0,0.82,0
 60-70,0,0,0,0,0,3.79,0,2.1,9.09,0,3.49,15.17,0,0,5.5,11.11,0,0,0,0,274.43,2.48,0,0,0,0
 72-82,0.9,3.28,0,2.91,0,8.59,0,2.14,41.38,0,0,1.39,7.44,0,0,47.59,1.85,1.06,0,0,636.12,5.26,5.48,1.17,0,0
 84-94,0,16.66,0.72,0,0,11.04,0,3.18,95.15,1.22,0,12.42,5.85,0,0,19.71,0,0,0,2.64,1252.84,0,0,0,0,2.23
 96-106,1.1,12.47,4.06,8.32,0,31.76,0,0,64.63,0,0,25.28,12.72,2.08,0,32.61,0,0,1.67,11.15,1273.58,1.19,0,2.18,0,0.69
108-118,1.03,22.57,1.53,1.64,2.15,47.28,0.43,3.03,102.95,0,0,2.88,7.58,0,0.46,42.79,0,0,0,4.95,1634.99,13.25,0,0,6.58,0
120,0,4.2,9.81,1.64,0,30.98,0,10.92,116.96,6.59,0,0,8.37,0,1.57,51.53,0,5.44,0,6.66,1072.63,0,0,0,0,0
